TITOLO,ISSN
CAMBRIDGE JOURNAL OF ECONOMICS,0309-166X
"CAMBRIDGE JOURNAL OF REGIONS, ECONOMY AND SOCIETY",1752-1378
CAMBRIDGE REVIEW OF INTERNATIONAL AFFAIRS,0955-7571
CAMBRIDGE REVIEW OF INTERNATIONAL AFFAIRS,1474-449X
CAMINHOS,1678-3034
CANADIAN DIVERSITY,1711-1870
CANADIAN JOURNAL OF ADMINISTRATIVE SCIENCES-REVUE CANADIENNE DES SCIENCES DE L'ADMINISTRATION,0825-0383
CANADIAN JOURNAL OF AFRICAN STUDIES,0008-3968
CANADIAN JOURNAL OF ENVIRONMENTAL EDUCATION,1205-5352
CANADIAN JOURNAL OF LAW AND JURISPRUDENCE,0841-8209
CANADIAN JOURNAL OF LAW AND JURISPRUDENCE,2056-4260
CANADIAN JOURNAL OF LAW AND SOCIETY,0829-3201
CANADIAN JOURNAL OF POLITICAL SCIENCE-REVUE CANADIENNE DE SCIENCE POLITIQUE,0008-4239
CANADIAN JOURNAL OF SOCIOLOGY,0318-6431
CANADIAN JOURNAL OF SOCIOLOGY,1710-1123
CANADIAN WOMEN'S STUDIES,0713-3235
CAPITAL & CLASS,0309-8168
"CAPITALISM, NATURE, SOCIALISM",1045-5752
CAPYS. RIVISTA DI STORIA E SCIENZE RELIGIOSE,2239-5423
CARCERAL NOTEBOOKS,1942-4965
CARL SCHMITT STUDIEN,.
CASSAZIONE PENALE,1125-856X
CELL,0092-8674
CELL DEATH AND DIFFERENTIATION,1350-9047
CELL REPORTS,2211-1247
CELL STEM CELL,1934-5909
CEMOTI. CAHIERS D'ETUDES SUR LA MEDITERRANEE ORIENTALE ET LE MONDE TURCO-IRANIEN,0764-9878
CENOBIO,0008-896X
CENTRAL ASIAN SURVEY,0263-4937
CENTRAL EUROPEAN JOURNAL OF INTERNATIONAL & SECURITY STUDIES,1802-548X
CENTRAL EUROPEAN POLITICAL SCIENCE REVIEW,1586-4197
CENTRO VATICANO II,.
CESCONTEXTO. DEBATES,2182-908X
CEU POLITICAL SCIENCE JOURNAL,1992-3147
CHEIRON,1127-8951
CHEIRON,1127-8951
CHIASMI INTERNATIONAL,1637-6757
CHICHUUKAI KENKYUUJO KIYOU,1348-2076
CHILD & FAMILY SOCIAL WORK,1356-7500
CHILD ABUSE & NEGLECT,0145-2134
CHILD ABUSE REVIEW,0952-9136
CHILD DEVELOPMENT,0009-3920
CHILD MALTREATMENT,1077-5595
CHILDHOOD,0907-5682
CHILDHOOD AND SOCIETY,.
CHILDREN & SOCIETY,0951-0605
CHILDREN AND YOUTH SERVICES REVIEW,0190-7409
CHINA & WORLD ECONOMY,1749-124X
CHINA INFORMATION,0920-203X
CHINA QUARTERLY,0305-7410
CHINESE JOURNAL OF COMMUNICATION,1754-4750
CHINESE SOCIOLOGICAL REVIEW,2162-0563
CHORA,1974-1979
CHRONOS,1127-2775
CIBERSPAZIO E DIRITTO,1591-9544
"CICLOS EN LA HISTORIA, LA ECONOMÍA Y LA SOCIEDAD",0327-4063
CIENCIA TOMISTA,0210-0398
CIÊNCIAS HUMANAS EM REVISTA,1678-8192
CIÊNCIAS SOCIAIS UNISINOS,1519-7050
CINEFORUM,0009-7039
CINERGIE,1824-3495
CINERGIE,2280-9481
CITES,1299-5495
CITIES,0264-2751
CITIZENSHIP STUDIES,1362-1025
CITIZENSHIP STUDIES,1469-3593
CITTA' E STORIA,1828-6364
CITTÀ IN MOVIMENTO,1971-1190
CITTÀ RIVISTA,1724-4323
CITTADINI IN CRESCITA,1723-2562
CITY & COMMUNITY,1535-6841
CIVIL WARS,1369-8249
CIVITAS,0009-8191
CIVITAS,1519-6089
CLAVES DE RAZÓN PRÁCTICA,1130-3689
CLIMATE POLICY,1469-3062
CLIMATIC CHANGE,0165-0009
CLINICAL CASES IN MINERAL AND BONE METABOLISM,1724-8914
CLINICAL REHABILITATION,0269-2155
CLINICAL RHEUMATOLOGY,0770-3198
CLINICAL THERAPEUTICS,0149-2918
CLIO,0391-6731
CLIO,0884-2043
CLIOMETRICA,1863-2505
CLOSE-UP,1827-4986
COGENCY,0718-8285
"COGNIŢIE, CREIER, COMPORTAMENT",1224-8398
COGNITION COMMUNICATION CO-OPERATION,1726-670X
COGNITION TECHNOLOGY AND WORK,1435-5558
COGNITIVE PROCESSING,1612-4782
COGNITIVE SCIENCE QUARTERLY,1466-6553
COGNITIVE SYSTEMS RESEARCH,1389-0417
COLD WAR HISTORY,1468-2745
COLD WAR INTERNATIONAL HISTORY PROJECT BULLETIN,1071-9652
COLLINGWOOD AND BRITISH IDEALISM STUDIES,1744-9413
COLLOQUIUM PHILOSOPHICUM,1126-9170
COLONIAL LATIN AMERICAN REVIEW,1060-9164
COMMON MARKET LAW REVIEW,0165-0750
COMMUNICATION ET LANGAGES PARIS,0336-1500
COMMUNICATION ET ORGANISATION,1168-5549
COMMUNICATION MONOGRAPHS,0363-7751
COMMUNICATION RESEARCH,0093-6502
COMMUNICATION THEORY,1050-3293
"COMMUNICATION, CULTURE & CRITIQUE",1753-9129
"COMMUNICATION, POLITICS & CULTURE",1836-0645
COMMUNIO,0338-781X
COMMUNIST AND POST-COMMUNIST STUDIES,0967-067X
COMMUNITY DEVELOPMENT JOURNAL,0010-3802
"COMMUNITY, WORK & FAMILY",1366-8803
"COMMUNITY, WORK & FAMILY",1469-3615
COMPARATIVE ECONOMIC STUDIES,0888-7233
COMPARATIVE EDUCATION,0305-0068
COMPARATIVE EDUCATION,1360-0486
COMPARATIVE EDUCATION REVIEW,0010-4086
COMPARATIVE EUROPEAN POLITICS,1472-4790
COMPARATIVE EUROPEAN POLITICS,1740-388X
COMPARATIVE LITERATURE STUDIES,0010-4132
COMPARATIVE POLITICAL STUDIES,0010-4140
COMPARATIVE POLITICS,0010-4159
COMPARATIVE POPULATION STUDIES,1869-8999
COMPARATIVE SOCIOLOGY,1569-1322
COMPARATIVE STUDIES IN SOCIETY AND HISTORY,0010-4175
"COMPARATIVE STUDIES OF SOUTH ASIA, AFRICA, AND THE MIDDLE EAST",1089-201X
COMPRENDRE,0010-4418
COMPUTATIONAL AND MATHEMATICAL ORGANIZATION THEORY,1381-298X
COMPUTER SUPPORTED COOPERATIVE WORK,0925-9724
"COMPUTERS, ENVIRONMENT AND URBAN SYSTEMS",0198-9715
COMUNICAZIONE POLITICA,.
COMUNICAZIONE POLITICA,1594-6061
COMUNICAZIONEPUNTODOC,2282-0140
COMUNICAZIONI SOCIALI,0392-8667
COMUNICAZIONI SOCIALI,1827-7969
COMUNICAZIONI SOCIALI ON-LINE,2037-0415
CONFÉRENCE,1269-0732
CONFLICT MANAGEMENT AND PEACE SCIENCE,0738-8942
CONFLICT RESOLUTION QUARTERLY,1536-5581
"CONFLICT, SECURITY, DEVELOPMENT",1467-8802
CONFLUENCES EN MÉDITERRANÉE,1148-2664
CONFLUÊNCIA,1415-7403
CONFLUENZE,2036-0967
CONFRONTO,1129-2229
CONSECUTIO TEMPORUM,2239-1061
CONSERVATION SCIENCE IN CULTURAL HERITAGE,1974-4951
CONSTELLATIONS,1351-0487
CONSTITUTIONAL POLITICAL ECONOMY,1043-4062
"CONSUMATORI, DIRITTI E MERCATO",1590-1661
CONTATTI,1826-6002
CONTEMPORANEA,1127-3070
CONTEMPORARY DRUG PROBLEMS,0091-4509
CONTEMPORARY EUROPEAN HISTORY,0960-7773
CONTEMPORARY ITALIAN POLITICS,2324-8823
CONTEMPORARY ITALIAN POLITICS,2324-8831
CONTEMPORARY POLITICS,1356-9775
CONTEMPORARY POLITICS,1469-3631
CONTEMPORARY SECURITY POLICY,1352-3260
CONTEMPORARY SOCIOLOGY,0094-3061
CONTEMPORARY SOUTH ASIA,0958-4935
CONTEMPORARY SOUTHEAST ASIA,0129-797X
CONTESTI,2035-5300
CONTEXTS,1756-235X
CONTINUUM,1030-4312
CON-TRATTO,1121-8444
CONTRATTO E IMPRESA,1123-5055
CONTRIBUCIONES A LAS CIENCIAS SOCIALES,1988-7833
CONTRIBUTIONS TO INDIAN SOCIOLOGY,0069-9667
CONTRIBUTIONS TO POLITICAL ECONOMY,0277-5921
CONTRIBUTIONS TO THE HISTORY OF CONCEPTS,1807-9326
CONTROVERSIAS Y CONCURRENCIAS LATINOAMERICANAS,.
CONVERGENCE,1354-8565
CONVIVIUM ASSISIENSE,1828-7743
COOPERATION AND CONFLICT,0010-8367
COOPERATION SOUTH,0259-3882
COOPERAZIONE DI CREDITO,0010-8480
COOPERAZIONE EDUCATIVA,0010-8502
COOPERAZIONE MEDITERRANEA,.
CORPORATE GOVERNANCE,1472-0701
CORPORATE SOCIAL-RESPONSIBILITY AND ENVIRONMENTAL MANAGEMENT,1535-3966
CORPS,1954-1228
CORVINUS JOURNAL OF SOCIOLOGY AND SOCIAL POLICY,2062-087X
COSMOPOLIS,1828-6771
COSMOPOLIS,1828-9231
COSTITUZIONALISMO.IT,2036-6744
CR: THE NEW CENTENNIAL REVIEW,1532-687X
CRIME & DELINQUENCY,0011-1287
CRIME AND JUSTICE,0192-3234
CRIME LAW AND SOCIAL CHANGE,0925-4994
"CRIME, HISTOIRE & SOCIÉTÉS",1422-0857
CRIMINALIA,1972-3857
CRIMINOLOGY,0011-1384
CRIMINOLOGY & CRIMINAL JUSTICE,1748-8958
CRIMINOLOGY & PUBLIC POLICY,1538-6473
CRISTIANESIMO NELLA STORIA,0393-3598
CRITERIO,0011-1473
CRITERIO Y CONDUCTA,1870-9516
CRITICA DEL TESTO,1127-1140
CRÍTICA JURÍDICA,0188-3968
CRITICA LETTERARIA,0390-0142
CRITICA MARXISTA,0011-152X
CRITICA MARXISTA,0104-9321
CRITICA PENAL Y PODER,2014-3753
CRITICA SOCIALE,0011-1538
CRITICAL ASIAN STUDIES,1467-2715
CRITICAL HORIZONS,1440-9917
CRITICAL INQUIRY,0093-1896
CRITICAL PERSPECTIVES ON ACCOUNTING,1045-2354
CRITICAL POLICY STUDIES,1946-0171
CRITICAL REVIEW,0891-3811
CRITICAL REVIEW,1933-8007
CRITICAL REVIEW OF INTERNATIONAL SOCIAL AND POLITICAL PHILOSOPHY,1369-8230
CRITICAL REVIEW OF INTERNATIONAL SOCIAL AND POLITICAL PHILOSOPHY,1743-8772
CRITICAL SOCIAL POLICY,0261-0183
CRITICAL SOCIOLOGY,0896-9205
CRITICAL STUDIES IN FASHION & BEAUTY,2040-4417
CRITICAL STUDIES IN TELEVISION,1749-6020
CRITICAL STUDIES ON TERRORISM,1753-9153
CRITICAL STUDIES ON TERRORISM,1753-9161
CRITIQUE INTERNATIONALE,1290-7839
CROATIAN JOURNAL OF PHILOSOPHY,1333-1108
CROMOHS,1123-7023
CROSS-CULTURAL RESEARCH,1069-3971
CROSSINGS,2040-4344
CROSSROADS,1825-7208
CRU,1722-8654
CTHEORY,1190-9153
CUADERNOS ARAGONESES DE ECONOMÍA,0211-0865
CUADERNOS DE FILOLOGIA CLASICA. ESTUDIOS LATINOS,1131-9062
CUADERNOS DE FILOLOGÍA ITALIANA,1133-9527
CUADERNOS DE FILOSOFÍA,0590-1901
CUADERNOS DE INFORMACIÓN,0716-162X
CUADERNOS DE PEDAGOGIA,0210-0630
CUADERNOS DE RELACIONES LABORALES,1988-2572
CUADERNOS DE TRABAJO SOCIAL,0214-0314
CUADERNOS DIECIOCHISTAS,1576-7914
CUADERNOS ELECTRÓNICOS DE FILOSOFÍA DEL DERECHO,1138-9877
CUADERNOS KÓRE,1889-9285
CUADERNOS SALMANTINOS DE FILOSOFIA,0210-4857
CULTURA,1584-1057
CULTURA,2065-5002
CULTURA - REVISTA DE HISTORIA E TEORIA DAS IDEIAS,0870-4546
CULTURA21-MAGAZIN,1863-9674
CULTURAL POLITICS,1743-2197
CULTURAL SOCIOLOGY,1749-9755
CULTURAL STUDIES REVIEW,1837-8692
CULTURAL TRENDS,0954-8963
CULTURE,.
CULTURE AND RELIGION,1475-5610
CULTURE DELLA SOSTENIBILITÀ,1972-5817
CULTURE ET MUSÉES,1766-2923
CULTURE ET RECHERCHE,0765-5991
"CULTURE, SOCIETY & MASCULINITIES",1941-5583
"CULTURE, THEORY AND CRITIQUE",1473-5776
"CULTURE, THEORY AND CRITIQUE","1473-5784,"
CULTURES ET CONFLITS,1157-996X
CURENTUL JURIDIC,1224-9173
CURRENT CANCER DRUG TARGETS,1568-0096
CURRENT OPINION IN DRUG DISCOVERY & DEVELOPMENT,1367-6733
CURRENT POLITICS AND ECONOMICS OF EUROPE,1057-2309
CURRENT RESEARCH IN SOCIAL PSYCHOLOGY,1088-7423
CURRENT SOCIOLOGY,0011-3921
CYBER ORIENT,1804-3194
CYBERNETICS AND SYSTEMS,0196-9722
CYBERPSYCHOLOGY,1802-7962
D & L,1825-3180
DADA,2240-0192
DAEDALUS,0011-5266
DAEDALUS,1122-5734
DAEDALUS,1970-2175
DARKMATTER,2041-3254
DAS ARGUMENT,0004-1157
DASEINSANALYSE,0254-6221
DAVAR,.
DE QUALITATE,1123-3249
DÉCALAGES,1948-5840
DEDALO,.
DEDALO,1128-7543
DEFENCE AND PEACE ECONOMICS,1024-2694
DEI DELITTI E DELLE PENE,1590-5837
DELITO Y SOCIEDAD,0328-0101
DEMOCRACY & NATURE,1085-5661
DEMOCRATIC THEORY,2332-8894
DEMOCRATIC THEORY,2332-8908
DEMOCRATIZATION,1351-0347
DEMOCRAZIA E DIRITTO,0416-9565
DEMOCRAZIA E DIRITTO,1972-5590
DEMOCRAZIA E SICUREZZA,2239-804X
DEMOTRENDS : QUADRIMESTRALE SULLA REALTÀ DEMOGRAFICA ITALIANA,.
"DEP. DEPORTATE, ESULI, PROFUGHE",1824-4483
DER BÜRGER IM STAAT,0007-3121
DER EINZIGE,1435-0432
DER STAAT,0038-884X
DERECHO A COMUNICAR,2007-137X
DERECHO Y RELIGIÓN,1887-3243
DERECHOS Y LIBERTADES,1133-0937
DESARROLLO ECONOMICO-REVISTA DE CIENCIAS SOCIALES,0046-001X
DESIGN ISSUES,0747-9360
DESIGN STUDIES,0142-694X
DEUTSCHE ZEITSCHRIFT FÜR PHILOSOPHIE,0012-1045
DEVELOPMENT,1011-6370
DEVELOPMENT AND CHANGE,0012-155X
DEVELOPMENT DIALOGUE,0345-2328
DEVELOPMENT POLICY REVIEW,0950-6764
DÉVIANCE ET SOCIÉTÉ DEVIANCE ET SOCIETE,0378-7931
DEVIANT BEHAVIOR,0163-9625
DEVIANT BEHAVIOR,1521-0456
DEZ-EME,1576-4044
DIACRITICS,0300-7162
DIACRONIE. STUDI DI STORIA CONTEMPORANEA,2038-0925
DIALECTICAL ANTHROPOLOGY,0304-4092
DIALEGESTHAI,1128-5478
DIALETTICA E FILOSOFIA,1974-417X
DIÁLOGO CIENTÍFICO,0942-2218
DIALOGUE,0012-2173
DIALOGUES IN HUMAN GEOGRAPHY,2043-8206
DIANOIA,1125-1514
DIASPORAS,1637-5823
DIE WELT DES ISLAMS,0043-2539
DIFESA SOCIALE,0012-2653
DIFFERENCES,1040-7391
DIGITAL HUMANITIES QUARTERLY,1938-4122
DIID. DISEGNO INDUSTRIALE INDUSTRIAL DESIGN,1594-8528
DIKE,1593-0351
DIMENSIONI E PROBLEMI DELLA RICERCA STORICA,1125-517X
DIMENSÕES,2179-8869
DIOGENES,0392-1921
DIOGENES (ENGLISH ED. ONLINE),1467-7695
DIPAV QUADERNI,1721-7199
DIPLOMACY AND STATECRAFT,0959-2296
DIPLOMACY AND STATECRAFT,1557-301X
DIPLOMATIC HISTORY,0145-2096
DIPLOMATIC HISTORY,1467-7709
DIRITTI FONDAMENTALI,2240-9823
DIRITTI LAVORI MERCATI,1722-7666
DIRITTI UMANI E DIRITTO INTERNAZIONALE,1971-7105
DIRITTO & QUESTIONI PUBBLICHE,1825-0173
DIRITTO DEL MERCATO DEL LAVORO,1590-4911
DIRITTO DEL TURISMO,1722-5655
DIRITTO DELLE RELAZIONI INDUSTRIALI,1121-8762
DIRITTO E CULTURA,1824-4572
DIRITTO E GIURISPRUDENZA,0012-3439
DIRITTO E PRATICA DEL LAVORO,1591-2132
DIRITTO E RELIGIONI,1970-5301
DIRITTO E SOCIETÀ,0391-7428
DIRITTO ED ECONOMIA DEI MEZZI DI COMUNICAZIONE,1827-0395
DIRITTO IMMIGRAZIONE E CITTADINANZA,1720-433X
DIRITTO PENALE E PROCESSO,1591-5611
DIRITTO PUBBLICO COMPARATO ED EUROPEO,1720-4313
DIRITTO ROMANO ATTUALE,1128-8655
DIRITTO@STORIA,1825-0300
DISABILITY & SOCIETY,0968-7599
DISASTERS,0361-3666
DISCIPLINE FILOSOFICHE,1591-9625
DISCOURSE & SOCIETY,0957-9265
DISKURS KINDHEITS- UND JUGENDFORSCHUNG,1862-5002
DISP,0251-3625
DISTANCES ET SAVOIRS,1765-0887
DIVERSITÉ,1769-8502
DIX-HUITIÈME SIÈCLE,0070-6760
DOCTOR COMMUNIS,0012-4443
DOCTOR VIRTUALIS,2035-7362
DOSFILOS: REVISTA DE LITERATURA Y POLÍTICA,0187-683X
DOSSIER EUROPA,.
DOSSIER EUROPA EMIGRAZIONE,0391-3457
DROIT ET SOCIÉTÉ,0769-3362
DRUGS-EDUCATION PREVENTION AND POLICY,0968-7637
DUODA,1697-4506
DURKEIMIAN STUDIES,1362-024X
E/C,1970-7452
E/C,1973-2716
EABH BULLETIN,2219-0643
EARTHQUAKE SPECTRA,8755-2930
EAST EUROPEAN HUMAN RIGHTS REVIEW,1382-7987
EAST EUROPEAN POLITICS AND SOCIETIES,0888-3254
EASTERN JOURNAL OF EUROPEAN STUDIES,2068-651X
ECOLOGICAL ECONOMICS,0921-8009
ECOLOGICAL MODELLING,0304-3800
ECONOMIA & DIRITTO AGROALIMENTARE,1826-0373
ECONOMIA & DIRITTO AGROALIMENTARE,1970-9498
ECONOMIA & LAVORO,0012-978X
ECONOMIA AGRO-ALIMENTARE,1126-1668
ECONOMIA DEI SERVIZI,1970-4860
ECONOMIA DELLA CULTURA,1122-7885
ECONOMIA DELLE FONTI DI ENERGIA E DELL'AMBIENTE,1125-1263
ECONOMIA E DIRITTO DEL TERZIARIO,1593-9464
ECONOMIA E POLITICA,2281-5260
ECONOMIA E POLITICA INDUSTRIALE,0391-2078
ECONOMIA E SOCIETÀ REGIONALE. OLTRE IL PONTE,1827-2479
ECONOMIA GLOBAL E GESTÃO,0873-7444
ECONOMIA ITALIANA,0392-775X
ECONOMIA MARCHE,1120-9593
ECONOMIA PUBBLICA,0390-6140
"ECONOMIA, AZIENDA E SVILUPPO",1971-1964
ECONOMIC HISTORY REVIEW,0013-0117
ECONOMIC POLICY,0266-4658
ECONOMIC SYSTEMS RESEARCH,0953-5314
ECONOMICS & POLITICS,0954-1985
ECONOMICS AND PHILOSOPHY,0266-2671
ECONOMICS OF INNOVATION AND NEW TECHNOLOGY,1043-8599
ECONOMY AND SOCIETY,0308-5147
EDITH-STEIN-JAHRBUCH,0948-3063
EDIZIONE...,.
EDUCAÇÃO,0101-465X
EDUCAÇÃO E PESQUISA,1517-9702
EDUCATION ABOUT ASIA,1090-6851
EDUCATION ET SOCIÉTÉS,1373-847X
EDUCATION INQUIRY,2000-4508
EDUCATION RELATIVE À L'ENVIRONNEMENT: REGARDS-RECHERCHES-RÉFLEXIONS,1373-9689
EDUCATIONAL REFLECTIVE PRACTICES,2240-7758
EDUCATIVA,1415-0492
EDUCAZIONE INTERCULTURALE,1722-408X
EDUCAZIONE PERMANENTE,.
EDUCAZIONE SANITARIA E PROMOZIONE DELLA SALUTE,1124-3651
E-JEMED,1298-0137
EJOURNAL OF EDEMOCRACY AND OPEN GOVERNMENT,2075-9517
EKISTICS,0013-2942
E-LEARNING & KNOWLEDGE MANAGEMENT,.
E-LEARNING AND DIGITAL MEDIA,2042-7530
ELECCIONES,1994-5272
ELECTORAL STUDIES,0261-3794
ELECTRONIC COMMUNICATIONS OF THE EASST,1863-2122
ELECTRONIC JOURNAL OF E-GOVERNMENT,1479-439X
ELECTRONIC JOURNAL OF INFORMATION SYSTEM EVALUATION,1566-6379
ELECTRYONE,2241-4061
ELITE E STORIA,.
"ÉLITES",1826-8919
EMBO JOURNAL,0261-4189
EMBO REPORTS,1469-221X
EMERGENCE,1521-3250
EMPIRICAL ECONOMICS,0377-7332
ENCUENTROS LATINOAMERICANOS,1688-437X
ENCYCLOPAIDEIA,1590-492X
ENDOXA,1133-5351
ENERGIA,0392-7911
"ENERGIA, AMBIENTE E INNOVAZIONE",1124-0016
ENERGY POLICY,0301-4215
ENERGY PROCEDIA,1876-6102
"ENFANCES, FAMILLES, GÉNÉRATIONS",1708-6310
ENGINEERING STUDIES,1937-8629
ENGLISHES,1593-2494
ENOMETRICA,1974-4730
ENTREPRISES ET HISTOIRE,1161-2770
ENTROPIA,1954-2437
ENVIRONMENT AND HISTORY,0967-3407
ENVIRONMENT AND PLANNING A,0308-518X
ENVIRONMENT AND PLANNING B-PLANNING & DESIGN,0265-8135
ENVIRONMENT AND PLANNING C-GOVERNMENT AND POLICY,0263-774X
ENVIRONMENT AND PLANNING D-SOCIETY & SPACE,0263-7758
ENVIRONMENTAL HEALTH PERSPECTIVES,0091-6765
ENVIRONMENTAL HISTORY,1084-5453
ENVIRONMENTAL MANAGEMENT,0364-152X
ENVIRONMENTAL POLICY AND GOVERNANCE,1756-932X
ENVIRONMENTAL POLITICS,0964-4016
ENVIRONMENTAL SCIENCE & POLICY,1462-9011
ENVIRONMENTAL VALUES,0963-2719
EPHEMERA,1473-2866
EPIDEMIOLOGIA E PSICHIATRIA SOCIALE,1121-189X
EQUAL OPPORTUNITIES INTERNATIONAL,0261-0159
"EQUALITY, DIVERSITY AND INCLUSION",2040-7149
EQUILIBRI,1594-7580
ERGONOMIA,1123-7651
ERITREAN STUDIES REVIEW,1086-9174
ERKENNTNIS,0165-0106
ERRE,1973-3801
"ERWAGEN, WISSEN, ETHIK",1610-3696
ESAC. ECONOMIA SOLIDÁRIA E AÇÃO COOPERATIVA,1980-833X
ESAMIZDAT,1723-4042
ESERCIZI CRITICI. LETTERATURA ED ALTRO,1723-0861
ESERCIZI FILOSOFICI,1970-0164
ESPACESTEMPS.NET,1777-5477
ESPERIENZE SOCIALI,0423-4014
ESPIRAL,1665-0565
ESSEX GRADUATE JOURNAL OF SOCIOLOGY,1361-3030
ESTETICA,1824-3126
ESTETICA. STUDI E RICERCHE,2039-6635
EST-OVEST,0046-256X
ESTUDIOS DE HISTORIA NOVOHISPANA,0185-2523
ESTUDIOS HISTÓRICOS,1688-5317
ESTUDIOS INTERDISCIPLINARIOS DE AMERICA LATINA Y EL CARIBE,0792-7061
ESTUDIOS MIGRATORIOS LATINOAMERICANOS,0326-7458
"ESTUDIOS SOCIALES - INSTITUTO DE ESTUDIOS SOCIALES, UNIVERSIDAD DE GUADALAJARA",0187-0211
ESTUDOS,0102-5465
ESTUDOS IBERO-AMERICANOS,0101-4064
ESTUDOS IBERO-AMERICANOS,1980-864X
ETA' EVOLUTIVA,0392-0658
ETC,1617-8912
ETHIC@,1677-2954
ETHICA,1021-8122
ETHICAL THEORY AND MORAL PRACTICE,1386-2820
ETHICAL THEORY AND MORAL PRACTICE,1572-8447
ETHICS,0014-1704
ETHICS,1539-297X
ETHICS & GLOBAL POLITICS,1654-4951
ETHICS & GLOBAL POLITICS,1654-6369
ETHICS & INTERNATIONAL AFFAIRS,0892-6794
ETHICS AND INFORMATION TECHNOLOGY,1388-1957
"ÉTHIQUE ET ÉCONOMIQUE/ETHICS AND ECONOMICS",1639-1306
ETHNIC AND RACIAL STUDIES,0141-9870
ETHNICITIES,1468-7968
ETHNOGRAPHY,1466-1381
ETHNOGRAPHY,1741-2714
ETHNOHISTORY,0014-1801
ETHNOLOGIE FRANCAISE,0046-2616
ETHNOPOLITICS,1744-9057
ETHNOPOLITICS,1744-9065
ETHNORÊMA,1826-8803
ETHOS,0860-8024
ETICA & POLITICA,1825-5167
ETNOANTROPOLOGIA ONLINE,.
ETNOGRAFIA E RICERCA QUALITATIVA,1973-3194
ETNOGRÁFICA,0873-6561
ETNOSISTEMI,1122-6234
ETUDES DE LETTRES,0014-2026
ETUDES TSIGANES,0014-2247
EU YEON'GU,1738-2319
EUNOMIA,2280-8949
EUNOMÍA. REVISTA EN CULTURA DE LA LEGALIDAD,2253-6655
EURASIAN GEOGRAPHY AND ECONOMICS,1538-7216
EURASIAN STUDIES,1722-0750
EUROPA E MEZZOGIORNO,1593-9448
EUROPA E REGIONE,0391-2450
EUROPA ETHNICA,0014-2492
EUROPA EUROPE,1594-3593
EUROPA MEDICOPHYSICA,0014-2573
EUROPA MEDICOPHYSICA,1827-1804
EUROPAE,1974-2711
EUROPEAN ACCOUNTING REVIEW,0963-8180
EUROPEAN ADDICTION RESEARCH,1022-6877
EUROPEAN DIVERSITY AND AUTONOMY PAPERS,1827-8361
EUROPEAN EMPLOYMENT OBSERVATORY REVIEW,1725-5376
EUROPEAN FOREIGN AFFAIRS REVIEW,1384-6299
EUROPEAN HISTORY QUARTERLY,0265-6914
EUROPEAN JOURNAL OF AMERICAN CULTURE,1466-0407
EUROPEAN JOURNAL OF AMERICAN STUDIES,1991-9336
EUROPEAN JOURNAL OF CANCER PREVENTION,0959-8278
EUROPEAN JOURNAL OF COMMUNICATION,0267-3231
"EUROPEAN JOURNAL OF CRIME, CRIMINAL LAW AND CRIMINAL JUSTICE",0928-9569
EUROPEAN JOURNAL OF CRIMINOLOGY,1477-3708
EUROPEAN JOURNAL OF CULTURAL STUDIES,1367-5494
EUROPEAN JOURNAL OF EAST ASIAN STUDIES,1568-0584
EUROPEAN JOURNAL OF EAST ASIAN STUDIES,1570-0615
EUROPEAN JOURNAL OF ECONOMIC AND SOCIAL SYSTEMS,1292-8895
EUROPEAN JOURNAL OF EDUCATION,0141-8211
EUROPEAN JOURNAL OF EDUCATIONAL STUDIES,1946-6331
EUROPEAN JOURNAL OF EMERGENCY MEDICINE,0969-9546
EUROPEAN JOURNAL OF ENGINEERING EDUCATION,0304-3797
EUROPEAN JOURNAL OF EPRACTICE,1988-625X
EUROPEAN JOURNAL OF GASTROENTEROLOGY & HEPATOLOGY,0954-691X
EUROPEAN JOURNAL OF HEALTH LAW,0929-0273
EUROPEAN JOURNAL OF INDUSTRIAL RELATIONS,0959-6801
EUROPEAN JOURNAL OF INFORMATION SYSTEMS,0960-085X
EUROPEAN JOURNAL OF INFORMATION SYSTEMS,1476-9344
EUROPEAN JOURNAL OF INTEGRATIVE MEDICINE,1876-3820
EUROPEAN JOURNAL OF INTERNATIONAL LAW,0938-5428
EUROPEAN JOURNAL OF INTERNATIONAL RELATIONS,1354-0661
EUROPEAN JOURNAL OF JEWISH STUDIES,2213-4972
EUROPEAN JOURNAL OF LAW REFORM,1387-2370
EUROPEAN JOURNAL OF LEGAL STUDIES,1973-2937
EUROPEAN JOURNAL OF MIGRATION AND LAW,1388-364X
EUROPEAN JOURNAL OF NEUROLOGY,1351-5101
EUROPEAN JOURNAL OF NEUROLOGY,1468-1331
EUROPEAN JOURNAL OF ONCOLOGY NURSING,1462-3889
EUROPEAN JOURNAL OF OPEN AND DISTANCE LEARNING,1027-5207
EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,0377-2217
EUROPEAN JOURNAL OF PHILOSOPHY,0966-8373
EUROPEAN JOURNAL OF PHILOSOPHY,1468-0378
EUROPEAN JOURNAL OF POLITICAL ECONOMY,0176-2680
EUROPEAN JOURNAL OF POLITICAL RESEARCH,0304-4130
EUROPEAN JOURNAL OF POLITICAL RESEARCH,1475-6765
EUROPEAN JOURNAL OF POLITICAL THEORY,1474-8851
EUROPEAN JOURNAL OF POLITICAL THEORY,1741-2730
EUROPEAN JOURNAL OF POPULATION,0168-6577
