TITOLO,ISSN
ACTA CLASSICA UNIVERSITATIS SCIENTIARUM DEBRECENIENSIS,0418-453X
ACTA FABULA,2115-8037
ACTA FACULTATIS PHILOSOPHICAE UNIVERSITATIS OSTRAVIENSIS. STUDIA GERMANISTICA,1803-408X
ACTA IASSYENSIA COMPARATIONIS,1584-6628
ACTA KOREANA,1520-7412
ACTA LINGUISTICA,1313-2296
ACTA LINGUISTICA,1313-2490
ACTA LINGUISTICA ASIATICA,2232-3317
ACTA LINGUISTICA HUNGARICA,1216-8076
ACTA LINGUISTICA LITHUANICA,1648-4444
ACTA MONGOLICA,2074-1014
ACTA MUSICAE BYZANTINAE,1454-5357
ACTA MUSICOLOGICA,0001-6241
ACTA NATURALIA DE L'ATENEO PARMENSE,0392-419X
ACTA NEUROCHIRURGICA,0001-6268
ACTA NEUROLOGICA SCANDINAVICA,0001-6314
ACTA NEUROLOGICA SCANDINAVICA,1600-0404
ACTA ORIENTALIA,0001-6438
ACTA ORIENTALIA ACADEMIAE SCIENTIARUM HUNGARICAE,0001-6446
ACTA PATRISTICA ET BYZANTINA,1022-6486
ACTA PHILOSOPHICA,1121-2179
ACTA PHONIATRICA LATINA,0392-3088
ACTA PHOTOGRAPHICA,1724-9821
ACTA POÉTICA,0185-3082
ACTA SCIENTIARUM. LANGUAGE AND CULTURE,1983-4675
ACTA TERRAE SEPTEMCASTRENSIS,1583-1817
ACTA TURCICA,1308-8351
ACTA UNIVERSITATIS CAROLINAE. PHILOSOPHICA ET HISTORICA,0567-8293
ACTA UNIVERSITATIS PALACKIANAE OLOMUCENSIS. FACULTAS PHILOSOPHICA. HISTORICA,0472-8947
ACTA UNIVERSITATIS SAPIENTIAE. FILM & MEDIA STUDIES,2065-5924
ACTES DE LA RECHERCHE EN SCIENCES SOCIALES,0335-5322
ACTING ARCHIVES REVIEW,2039-9766
ACTUM LUCE,0391-9994
AD GENTES,1826-0756
AD PARNASSUM,1722-3954
AD REM,1899-0495
ADALYA,1301-2746
ADAMANTIUS,1126-6244
ADAPTATION: THE JOURNAL OF LITERATURE ON SCREEN STUDIES,1755-0637
ADRIATICO / JADRAN,1828-5775
ADULTITÀ,2239-5288
ADUMATU,.
ADVANCED SCIENCE LETTERS,1936-6612
ADVANCES IN ANTHROPOLOGY,2163-9361
ADVANCES IN GEOSCIENCES,1680-7340
ADVANCES IN GEOSCIENCES,1680-7359
ADVANCES IN PHYSIOLOGY EDUCATION,1043-4046
AEGEAN ARCHAEOLOGY,1234-4621
AEGYPTUS,0001-9046
AEGYPTUS,1827-7888
AESTHETICA. PRE-PRINT,0393-8522
AESTIMATIO,1549-4489
AETAS,0237-7934
AETHIOPICA,1430-1938
AEVUM,0001-9593
AEVUM ANTIQUUM,1121-8932
AFRICA,0001-9747
AFRICA,0330-8235
AFRICA E MEDITERRANEO,1121-8495
AFRICA. SÉRIE REPPAL,0330-6569
AFRICA-AMERICA-ASIA-AUSTRALIA,1120-5806
AFRICAN ARCHAEOLOGICAL REVIEW,0263-0338
AFRICAN LITERATURE TODAY,0065-4000
AFRICAN STUDY MONOGRAPHS,0285-1601
AFRICANA,1592-9639
AFRICANA BULLETIN,0002-029X
AFRICHE E ORIENTI,1592-6753
AFRICULTURES,1276-2458
AFRIKA FOCUS,0772-084X
AFRIKA UND ÜBERSEE,0002-0427
AFRIKANISTIK ONLINE,1860-7462
AFRIKANISTISCHE ARBEITSPAPIERE,0178-725X
AFT,1120-205X
AG-ABOUT GENDER,2279-5057
AGALMA,1723-0284
AGATHON,.
AGATHOS,2069-1025
AGENDA,1013-0950
AGENDA,1723-963X
AGENDA SOCIAL,1981-9862
AGLOS,1884-8052
AGOGE,1827-5494
AGORA,0899-1146
AGORA,1583-3674
"ÀGORA",1139-2134
AGORÀ. PERIODICO DI CULTURA SICILIANA,.
AGRI CENTURIATI,1724-904X
AGRI CENTURIATI,1825-1277
AGRICULTURAL SCIENCES IN CHINA,1671-2927
"ÄGYPTEN UND LEVANTE",1813-5145
AIDA INFORMAZIONI,1121-0095
AIDS PATIENT CARE AND STDS,1087-2914
AIIA NOTIZIE,.
AILA REVIEW,1461-0213
AILE. ACQUISITION ET INTERACTION EN LANGUE ÉTRANGÈRE,1243-969X
AION,0392-6869
AION,1720-1721
"AION ANNALI DELL'ISTITUTO UNIVERSITARIO ORIENTALE DI NAPOLI. DIPARTIMENTO DI STUDI DEL MONDO CLASSICO E
DEL MEDITERRANEO ANTICO. SEZIONE FILOLOGICO-LETTERARIA",1128-7209
AION SLAVISTICA,1122-195X
"AION. ANNALI DEL DIPARTIMENTO DI STUDI DEL MONDO CLASSICO E DEL MEDITERRANEO ANTICO. SEZIONE
LINGUISTICA",1125-0240
AIRIES,1567-9896
AISTHESIS,2035-8466
AITIA,1775-4275
AJS REVIEW,0364-0094
AKADEMIE AKTUELL,1436-753X
AKKADICA,1378-5087
AKZENTE,0002-3957
AL,1809-3078
AL. RIVISTA DI STUDI DI ANTHOLOGIA LATINA,2038-3738
AL-ANDALUS MAGREB,1133-8571
ALAZET,0214-7602
ALBA POMPEIA,0394-9427
ALBA PRATALIA,1974-9856
ALBERTIANA,1126-9588
ALBINEANA,1154-5852
ALCANATE,1579-0576
ALCEU,1518-8728
ALEA,1517-106X
ALEA,1807-0299
ALEPH,0146-6097
ALEPH: HISTORICAL STUDIES IN SCIENCE AND JUDAISM,1565-1525
ALESSANDRIA,2279-7033
ALETHEIA,1413-0394
ALETHEIA,1887-0929
ALETRIA,1679-3749
ALETRIA,2317-2096
ALFABETA2,2038-7318
ALFABETISMO E CULTURA SCRITTA,1590-5829
ALFINGE,0213-1854
ALIFBA,.
ALKALMAZOTT NYELVTUDOMÁNY,1587-1061
ALLEGORIA,1122-1887
ALLEGORICA,0363-2377
ALMA ROMA,0391-724X
AL-MASĀQ,0950-3110
ALMATOURISM,2036-5195
ALPHA OMEGA,1126-8557
ALPHAVILLE,2009-4078
ALPINE AND MEDITERRANEAN QUATERNARY,2279-7327
AL-QANTARA,0211-3589
ALTAÏR,1139-9104
ALTAMURA,0569-1346
ALTERNATIVAS,0328-8064
ALTERNATIVE FRANCOPHONE,1916-8470
ALTERNATIVES THÉÂTRALES,0774-4145
ALTORIENTALISCHE FORSCHUNGEN,0232-8461
ALTRE MODERNITÀ,2035-7680
ALTREITALIE,1120-0413
AL-ʻUṢŪR AL-WUSṬÁ,1068-1051
ALVEARIUM,2036-5020
AM,1593-2737
AM ERKER,0721-0493
AMALTEA,1989-1709
AMALTEA,2039-5159
AMASTRA-N-GALLAR,1696-0718
AMBIENTE SOCIETÀ TERRITORIO,1824-114X
AMBRA,1586-9199
AMERICA,0982-9237
AMERICA SIN NOMBRE,1577-3442
AMERICAN ART,1073-9300
AMERICAN BOOK REVIEW,0149-9408
AMERICAN CATHOLIC PHILOSOPHICAL QUARTERLY,1051-3558
AMERICAN ETHNOLOGIST,0094-0496
AMERICAN HUNGARIAN PANORAMA,1589-3987
AMERICAN IMAGO,0065-860X
AMERICAN IMAGO,1085-7931
AMERICAN JOURNAL OF ARCHAEOLOGY,0002-9114
AMERICAN JOURNAL OF HUMAN BIOLOGY,1042-0533
AMERICAN JOURNAL OF HUMAN BIOLOGY,1520-6300
AMERICAN JOURNAL OF MENTAL RETARDATION,0895-8017
AMERICAN JOURNAL OF PHILOLOGY,0002-9475
AMERICAN JOURNAL OF PHILOLOGY,1086-3168
AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,0002-9483
AMERICAN JOURNAL OF SPEECH-LANGUAGE PATHOLOGY,1058-0360
AMERICAN LITERARY HISTORY,0896-7148
AMERICAN LITERARY HISTORY,1468-4365
AMERICAN LITERARY REALISM,1540-3084
AMERICAN LITERARY SCHOLARSHIP,0065-9142
AMERICAN LITERATURE,0002-9831
AMERICAN STUDIES,0209-1232
"AMERICAN, BRITISH AND CANADIAN STUDIES",1841-1487
AMICIZIA EBRAICO-CRISTIANA,1594-2465
AMIS DE VALENTIN BRÛ,1254-7824
AMOXCALLI,.
AMPELOSCORDIA,.
AMSTERDAM INTERNATIONAL ELECTRONIC JOURNAL FOR CULTURAL NARRATOLOGY,.
AMSTERDAMER BEITRAGE ZUR ALTEREN GERMANISTIK,0165-7305
AMSTERDAMER BEITRAGE ZUR NEUEREN GERMANISTIK,0304-6257
AN ONLINE REVIEW OF NEW BOOKS ON ENGLISH AND AMERICAN LITERATURE OF THE NINETEENTH CENTURY,2153-3296
ANABASES,1774-4296
ANACHRONIA,0946-347X
ANADOLU VE CEVRESINDE ORTACAG,1307-8852
ANALECTA AUGUSTINIANA,0392-2855
ANALECTA BOLLANDIANA,0003-2468
ANALECTA BOLLANDIANA,2507-0290
ANALECTA MALACITANA,0211-934X
ANALECTA PAPYROLOGICA,1122-2336
ANALECTA POMPOSIANA,0393-6538
ANALECTA ROMANA INSTITUTI DANICI,0066-1392
ANALECTA TOR,1974-675X
ANALELE BANATULUI,1221-678X
"ANALELE UNIVERSITĂŢII ""DUNĂREA DE JOS"" DIN GALAŢI. FASCICULA XXIV LEXIC COMUN / LEXIC SPECIALIZAT",1844-9476
"ANALELE UNIVERSITATII ""OVIDIUS"" CONSTANTA. SECTIUNEA FILOLOGIE",1224-1768
"ANALELE UNIVERSITATII ""STEFAN CEL MARE"" SUCEAVA. SERIA FILOLOGIE, A LINGVISTICA",1584-2878
"ANALELE UNIVERSITATII ""STEFAN CEL MARE"". SERIA STIINTE ALE EDUCATIEI",1582-1129
ANALELE UNIVERSITĂŢII „ŞTEFAN CEL MARE” SUCEAVA. SERIA FILOLOGIE B. LITERATURĂ,1584-2886
ANALELE UNIVERSITATII BUCURESTI. LIMBA SI LITERATURA ROMANA,1220-0271
ANALELE UNIVERSITATII BUCURESTI. LIMBI SI LITERATURI STRAINE,1220-0263
ANALELE UNIVERSITĂŢII DIN CRAIOVA,1841-8325
"ANALELE UNIVERSITATII DIN CRAIOVA. STIINTE FILOLOGICE, LINGVISTICA",1224-5712
ANALELE UNIVERSITAŢII OVIDIUS CONSTANTA. SERIA MATEMATICA,1224-1784
ANALES AZORINIANOS,0213-0777
ANALES CERVANTINOS,0569-9878
ANALES DE ARQUEOLOGIA CORDOBESA,1130-9741
ANALES DE LA LITERATURA ESPAÑOLA CONTEMPORÁNEA,0272-1635
ANALES DE LA REAL ACADEMIA DE MEDICINA Y CIRUGIA DE VALLADOLID,0210-6523
ANALES DE LITERATURA CHILENA,0717-6058
ANALES DE LITERATURA ESPAÑOLA,0212-5889
ANALES DE LITERATURA HISPANOAMERICANA,0210-4547
ANÀLISI,0211-2175
ANALITICA,2279-5065
ANALYSE MUSICALE,0295-3722
ANALYTICA CHIMICA ACTA,0003-2670
ANALYTICAL AND BIOANALYTICAL CHEMISTRY,1618-2642
ANATOLIA AN INTERNATIONAL JOURNAL OF TOURISM AND HOSPITALITY,1303-2917
ANATOLIA ANTIQUA,1018-1946
ANATOLIAN STUDIES,0066-1546
ANATOLICA,0066-1554
ANAZETESIS,.
ANCIENT CIVILIZATIONS FROM SCYTHIA TO SIBERIA,0929-077X
ANCIENT NARRATIVE,1568-3540
ANCIENT NEAR EASTERN STUDIES,1378-4641
ANCIENT SOCIETY,0066-1619
ANCIENT WEST & EAST,1783-8363
AND,1723-9990
ANFIONE E ZETO,0394-8021
ANGELICUM,1123-5772
ANGELO DI FUOCO,1722-5884
ANGERMION,1438-2091
ANGLIA,0340-5222
ANGLISTICA AION AN INTERDISCIPLINARY JOURNAL,2035-8504
ANGLISTICA PISANA,1827-4951
ANGLISTIK,0947-0034
ANGLOPHONIA,1278-3331
ANGLO-SAXON,1754-372X
ANGLO-SAXON ENGLAND,0263-6751
ANGLO-SAXON ENGLAND,1474-0532
ANGLO-SAXONICA,0873-0628
ANIMATION JOURNAL,1061-0308
ANIMESHON KENKYUU,1347-300X
ANMAL ELECTRÓNICA,1697-4239
ANNAEUS,1699-7301
ANNALE DI STORIA REGIONALE,.
"ANNALEN DES NATURHISTORISCHEN MUSEUMS IN WIEN. SERIE A FÜR MINERALOGIE UND PETROGRAPHIE, GEOLOGIE
UND PALÄONTOLOGIE, ANTHROPOLOGIE UND PRÄHISTORIE",0255-0091
ANNALES,0353-8281
ANNALES,0395-2649
ANNALES ARCHÉOLOGIQUES ARABES SYRIENNES,0570-1554
ANNALES BENJAMIN CONSTANT,0263-7383
"ANNALES DE L'UNIVERSITÉ ""DUNAREA DE JOS"" DIN GALATI. FASCICULE XXIII, MELANGES FRANCOPHONES",1843-8539
ANNALES DE NORMANDIE,0003-4134
ANNALES DE PHILOSOPHIE ET SCIENCES HUMAINES,1015-7263
ANNALES DU MIDI,0003-4398
ANNALES DU MONDE ANGLOPHONE,1259-5098
ANNALES DU SERVICE DES ANTIQUITÉS DE L'EGYPTE,1110-2160
ANNALES HISTORIQUES DE LA RÉVOLUTION FRANÇAISE,0003-4436
ANNALES HISTORIQUES DE LA RÉVOLUTION FRANÇAISE,1952-403X
ANNALES. ANALI ZA ISTRSKE IN MEDITERANSKE STUDIJE,1408-5348
ANNALI,1827-3823
ANNALI - ISTITUTO UNIVERSITARIO ORIENTALE DI NAPOLI,0393-3164
ANNALI - ISTITUTO UNIVERSITARIO ORIENTALE. FILOLOGIA GERMANICA,1125-1093
ANNALI - ISTITUTO UNIVERSITARIO ORIENTALE. SEZIONE GERMANICA,1124-3724
ANNALI ALFIERIANI,1972-9073
ANNALI ARETINI,1126-232X
ANNALI CUOCHIANI,1723-414X
ANNALI DEL CENTRO PANNUNZIO,.
ANNALI DEL DIPARTIMENTO DI STORIA,2239-3285
ANNALI DEL DIPARTIMENTO DI STORIA DELLE ARTI E DELLO SPETTACOLO,1590-3052
"ANNALI DEL DIPARTIMENTO DI STUDI GEOECONOMICI, LINGUISTICI, STATISTICI, STORICI PER L'ANALISI REGIONALE",.
"ANNALI DEL DIPARTIMENTO DI STUDI LETTERARI, LINGUISTICI E COMPARATI. SEZIONE LINGUISTICA",2281-6585
ANNALI DELLA FACOLTÀ DI ECONOMIA DI BENEVENTO,.
ANNALI DELLA FACOLTÀ DI LETTERE E FILOSOFIA,1125-8713
ANNALI DELLA FACOLTÀ DI LETTERE E FILOSOFIA - UNIVERSITÀ DEGLI STUDI DELLA BASILICATA,1593-2583
ANNALI DELLA FACOLTÀ DI LETTERE E FILOSOFIA DELL'UNIVERSITÀ DI PALERMO. STUDI E RICERCHE,.
ANNALI DELLA FACOLTÀ DI LETTERE E FILOSOFIA DELL'UNIVERSITÀ DI SASSARI,.
ANNALI DELLA FACOLTÀ DI LETTERE E FILOSOFIA. UNIVERSITÀ DEGLI STUDI DI BARI,0394-0020
"ANNALI DELLA FACOLTÀ DI LETTERE E FILOSOFIA. UNIVERSITÀ DEGLI STUDI DI PERUGIA. 1, STUDI CLASSICI",0393-6570
"ANNALI DELLA FACOLTÀ DI LETTERE E FILOSOFIA. UNIVERSITÀ DEGLI STUDI DI PERUGIA. 3, STUDI LINGUISTICO-
LETTERARI",0393-6597
"ANNALI DELLA FACOLTÀ DI LETTERE E FILOSOFIA. UNIVERSITÀ DEGLI STUDI DI PERUGIA. 4, STUDI FILOSOFICI",0393-6600
ANNALI DELLA FACOLTÀ DI LETTERE E FILOSOFIA. UNIVERSITÀ DI MACERATA,0076-1818
ANNALI DELLA FACOLTÀ DI LETTERE E FILOSOFIA. UNIVERSITÀ DI NAPOLI,0469-5461
ANNALI DELLA FACOLTÀ DI LETTERE E FILOSOFIA. UNIVERSITÀ DI SIENA,0392-9345
ANNALI DELLA FACOLTA' DI LINGUE E LETTERATURE STRANIERE DELL'UNIVERSITA' DI BARI,1126-9502
ANNALI DELLA FACOLTA DI LINGUE E LETTERATURE STRANIERE DELL'UNIVERSITA' DI SASSARI,1592-7679
ANNALI DELLA FACOLTA' DI LINGUE E LETTERATURE STRANIERE DELL'UNIVERSITA' DI SASSARI,1828-5384
ANNALI DELLA FACOLTÀ DI LINGUE E LETTERATURE STRANIERE DI CA' FOSCARI,0390-5837
ANNALI DELLA FACOLTÀ DI MAGISTERO DELL'UNIVERSITTA' DI CAGLIARI,1125-8462
ANNALI DELLA FACOLTÀ DI SCIENZE DELLA FORMAZIONE DELL'UNIVERSITÀ DI CAGLIARI,1125-8470
ANNALI DELLA FACOLTÀ DI SCIENZE DELLA FORMAZIONE UNIVERSITÀ DEGLI STUDI DI CATANIA,2038-1328
ANNALI DELLA FACOLTÀ DI SCIENZE DELLA FORMAZIONE UNIVERSITÀ DEGLI STUDI DI CATANIA,2039-4934
ANNALI DELLA FACOLTÀ DI SCIENZE DELLA FORMAZIONE-UNIVERSITÀ DI MACERATA,.
"ANNALI DELLA FONDAZIONE PER IL MUSEO ""CLAUDIO FAINA""",1724-8337
ANNALI DELLA FONDAZIONE UGO LA MALFA,1826-8854
ANNALI DELLA FONDAZIONE UGO SPIRITO,1121-1903
ANNALI DELLA FONDAZIONE VERGA,2038-2243
ANNALI DELLA PONTIFICIA INSIGNE ACCADEMIA DI BELLE ARTI E LETTERE DEI VIRTUOSI AL PANTHEON,1818-5282
ANNALI DELLA SCUOLA NORMALE SUPERIORE DI PISA. CLASSE DI LETTERE E FILOSOFIA,0392-095X
ANNALI DELLA SCUOLA NORMALE SUPERIORE DI PISA. CLASSE DI LETTERE E FILOSOFIA. QUADERNI,1128-1510
ANNALI DELL'ISTITUTO GRAMSCI EMILIA-ROMAGNA,1128-9279
ANNALI DELL'ISTITUTO ITALIANO PER GLI STUDI STORICI,0578-9931
ANNALI DELL'ISTITUTO STORICO ITALO-GERMANICO IN TRENTO,0392-0011
ANNALI DELL'ISTITUTO UNIVERSITARIO ORIENTALE DI NAPOLI. SEZIONE ROMANZA,0547-2121
ANNALI DELL'ISTITUTO UNIVERSITARIO ORIENTALE DI NAPOLI. STUDI FINNO-UGRICI,1826-753X
ANNALI DELL'ISTRUZIONE,1720-4135
ANNALI DELL'UNIVERSITÀ DI FERRARA. SEZIONE LETTERE,1594-7424
ANNALI DELL'UNIVERSITÀ DI FERRARA. SEZIONE STORIA,1825-7569
ANNALI DELL'UNIVERSITÀ DI FERRARA. SEZIONE: MUSEOLOGIA SCIENTIFICA E NATURALISTICA,1824-2707
ANNALI DELL'UNIVERSITÀ PER STRANIERI DI PERUGIA,1125-1166
ANNALI DI ARCHEOLOGIA E STORIA ANTICA,1127-7130
ANNALI DI ARCHITETTURA,1124-7169
ANNALI DI CA' FOSCARI,1125-3762
ANNALI DI CA' FOSCARI. SERIE ORIENTALE,1125-3789
ANNALI DI CHIMICA,0003-4592
ANNALI DI CRITICA D'ARTE,2279-557X
ANNALI DI SCIENZE RELIGIOSE,.
ANNALI DI SCIENZE RELIGIOSE,2031-5929
ANNALI DI SCIENZE RELIGIOSE,2294-8775
ANNALI DI SOCIOLOGIA,0066-2275
ANNALI DI STORIA DELLE UNIVERSITÀ ITALIANE,1127-8250
ANNALI DI STORIA DELL'EDUCAZIONE E DELLE ISTITUZIONI SCOLASTICHE,1723-9672
ANNALI DI STORIA DELL'ESEGESI,1120-4001
ANNALI DI STORIA DI FIRENZE,1827-6946
ANNALI DI STORIA MODERNA E CONTEMPORANEA,1124-0296
ANNALI DI STUDI RELIGIOSI,1592-5927
ANNALI DI STUDI RELIGIOSI,2284-3892
ANNALI D'ITALIANISTICA,0741-7527
ANNALI MANZONIANI,1126-6171
ANNALI ONLINE DELLA DIDATTICA E DELLA FORMAZIONE DOCENTE,2038-1034
ANNALI ONLINE DELL'UNIVERSITÀ DI FERRARA. SEZIONE IUSS,1974-918X
ANNALI ONLINE DELL'UNIVERSITÀ DI FERRARA. SEZIONE LETTERE,1826-803X
ANNALI QUERINIANI,.
"ANNALI. DIPARTIMENTO DI SCIENZE GIURIDICO-SOCIALI E DELL'AMMINISTRAZIONE DELL'UNIVERSITÀ DEGLI STUDI DEL
MOLISE",1590-1491
ANNALI. ISTITUTO UNIVERSITARIO ORIENTALE NAPOLI,0393-3180
ANNALI. ISTITUTO UNIVERSITARIO ORIENTALE. ANGLISTICA,1125-1077
ANNALI. ISTITUTO UNIVERSITARIO ORIENTALE. STUDI TEDESCHI,1125-1107
"ANNALI. SEZIONE DI ARCHEOLOGIA E STORIA ANTICA - DIPARTIMENTO DI STUDI DEL MONDO CLASSICO E DEL
MEDITERRANEO ANTICO",1121-8347
ANNALI. SEZIONE GERMANICA,.
ANNALI-ISTITUTO ITALIANO DI NUMISMATICA,0578-9923
ANNALI-ISTITUTO SUOR ORSOLA BENINCASA,2037-5859
ANNALI-UNIVERSITÀ DEGLI STUDI SUOR ORSOLA BENINCASA,2037-5867
ANNALS OF GEOPHYSICS,1593-5213
ANNALS OF GEOPHYSICS,2037-416X
ANNALS OF HUMAN BIOLOGY,0301-4460
"ANNALS OF THE ""SERGIU AL-GEORGE"" INSTITUTE",1221-4302
ANNÉE FRANCOPHONE INTERNATIONALE,1188-9160
"ANNUAIRE - ECOLE PRATIQUE DES HAUTES ÉTUDES, SECTION DES SCIENCES RELIGIEUSES",0183-7478
ANNUAIRE THÉÂTRAL,0827-0198
ANNUAL OF ARMENIAN LINGUISTICS,0271-9800
ANNUAL OF MEDIEVAL STUDIES AT THE CEU,1219-0616
ANNUAL OF URDU STUDIES,0734-5348
ANNUAL REPORT OF THE INTERNATIONAL RESEARCH INSTITUTE FOR ADVANCED BUDDHOLOGY AT SOKA UNIBERSITY,1343-8980
ANNUAL REVIEW OF ANTHROPOLOGY,0084-6570
ANNUAL REVIEW OF COGNITIVE LINGUISTICS,1572-0268
ANNUARIO ACCADEMICO..- UNIVERSITÀ PER STRANIERI. SIENA,.
ANNUARIO DELLA SCUOLA ARCHEOLOGICA DI ATENE E DELLE MISSIONI ITALIANE IN ORIENTE,0067-0081
ANNUARIO DELLA SCUOLA DI SPECIALIZZAZIONE IN STORIA DELL'ARTE DELL'UNIVERSITÀ DI BOLOGNA,1722-4217
ANNUARIO DELL'ACCADEMIA D'UNGHERIA,1122-049X
ANNUARIO DELL'ISTITUTO ROMENO DI CULTURA E RICERCA UMANISTICA DI VENEZIA,1454-6620
ANNUARIO FILOSOFICO,0394-1809
ANNUARIO. ACCADEMIA ETRUSCA DI CORTONA,0065-0730
ANNUARIUM HISTORIAE CONCILIORUM,0003-5157
ANOS 90,0104-236X
ANQ,0895-769X
ANTAEUS,0238-0218
ANTARES: LETRAS E HUMANIDADES,1984-4921
ANTENOR,1594-3526
ANTEREM,0393-1838
ANTHROPOLOGICAL LINGUISTICS,0003-5483
ANTHROPOLOGIE,0323-1119
ANTHROPOLOGY & PHILOSOPHY,1593-2079
ANTHROPOS,1105-2155
ANTHROPOS & IATRIA,1720-609X
ANTHROPOS & IATRIA,1720-6103
ANTHROPOZOOLOGICA,0761-3032
ANTICOMODERNO,1125-3800
ANTÍGONA,1887-6862
ANTIGUO ORIENTE,1667-9202
ANTIKE KUNST,0003-5688
ANTIKE UND ABENDLAND,0003-5696
ANTIKE UND ABENDLAND,1613-0421
ANTIKE WELT,0003-570X
ANTIQUITAS,1133-6609
ANTIQUITÉ TARDIVE,1250-7334
ANTIQUITES AFRICAINES,0066-4871
ANTIQUITY,0003-598X
ANTIQUORUM PHILOSOPHIA,1973-5030
ANTOLOGIA DI BELLE ARTI,0394-0136
ANTOLOGIA VIEUSSEUX,1124-3678
ANTOLOGIA VIEUSSEUX. RIVISTA DEL GABINETTO VIEUSSEUX,0570-3654
ANTONIANUM,0003-6064
ANTROPOLOGIA CONTEMPORANEA,0392-9035
ANTROPOLOGIA E TEATRO,2039-2281
ANTROPOLOGIA MUSEALE,1971-4815
"ANUARIO - INSTITUTO INVESTIGACIONES LITERARIAS, UNIVERSIDAD CENTRAL DE VENEZUELA",1316-4945
ANUARIO CALDERONIANO,1888-8046
ANUARIO DE ESTUDIOS CERVANTINOS,1697-4034
ANUARIO DE ESTUDIOS FILOLÓGICOS,0210-8178
ANUARIO DE ESTUDIOS MEDIEVALES,0066-5061
ANUARIO DE LA REAL ACADEMIA DE ESPAÑA EN ROMA,2037-6529
ANUARIO DE LETRAS,0185-1373
ANUARIO DE LINGUISTICA HISPANICA,0213-053X
"ANUARIO DEL SEMINARIO DE FILOLOGÍA VASCA ""JULIO DE URQUIJO""",0582-6152
ANUARIO LOPE DE VEGA,1136-5773
ANUARIO LOPE DE VEGA,2014-8860
ANZEIGER,0378-8652
ANZEIGER FÜR DIE ALTERTUMSWISSENSCHAFT,0003-6293
APERTO,1974-5257
APERTURE,2037-2558
APLIMAT - JOURNAL OF APPLIED MATHEMATICS,1337-6365
APOCRYPHA,1155-3316
APOKALIPSA,1318-3680
APOLLINAIRE,1955-5482
APOLLO,0003-6536
APOLLO. BOLLETINO DEI MUSEI PROVINCIALI DEL SALERNITANO,1720-5077
APPAREIL,2101-0714
APPLIED ARTIFICIAL INTELLIGENCE,0883-9514
APPLIED GEOCHEMISTRY,0883-2927
APPLIED LINGUISTICS,0142-6001
APPLIED LINGUISTICS,1477-450X
APPLIED LINGUISTICS REVIEW,1868-6303
APPLIED OPTICS,0003-6935
"APPLIED PHYSICS. A, MATERIALS SCIENCE & PROCESSING",0947-8396
"APPLIED PHYSICS. A, MATERIALS SCIENCE & PROCESSING",1432-0630
