SETTORE CONCORSUALE,TITOLO,ISSN,NOTE
14/A2,COMPARATIVE POLITICS,0010-4159,.
14/A2,COMPARATIVE SOCIOLOGY,1569-1322,.
14/A2,COMUNICAZIONE POLITICA,1594-6061,.
14/A2,CONFLICT MANAGEMENT AND PEACE SCIENCE,0738-8942,.
14/A2,CONFLICT RESOLUTION QUARTERLY,1536-5581,.
14/A2,CONSTITUTIONAL POLITICAL ECONOMY,1043-4062,.
14/A2,CONTEMPORARY POLITICS,1356-9775,.
14/A2,CONTEMPORARY POLITICS,1469-3631,.
14/A2,CONTINUUM,1030-4312,.
14/A2,CONTRIBUTIONS TO POLITICAL ECONOMY,0277-5921,.
14/A2,COOPERATION AND CONFLICT,0010-8367,.
14/A2,CRIME LAW AND SOCIAL CHANGE,0925-4994,.
14/A2,CRITICAL ASIAN STUDIES,1467-2715,.
14/A2,CRITICAL REVIEW OF INTERNATIONAL SOCIAL AND POLITICAL PHILOSOPHY,1369-8230,.
14/A2,CRITICAL SOCIAL POLICY,0261-0183,.
14/A2,CRITICAL STUDIES ON TERRORISM,1753-9161,.
14/A2,DEFENCE AND PEACE ECONOMICS,1024-2694,.
14/A2,DEMOCRATIZATION,1351-0347,.
14/A2,DEVELOPMENT POLICY REVIEW,0950-6764,.
14/A2,DISP,0251-3625,.
14/A2,EAST EUROPEAN POLITICS AND SOCIETIES,0888-3254,.
14/A2,ECONOMIC POLICY,0266-4658,.
14/A2,ECONOMICS & POLITICS,0954-1985,.
14/A2,ELECTORAL STUDIES,0261-3794,.
14/A2,ENVIRONMENT AND PLANNING C-GOVERNMENT AND POLICY,0263-774X,.
14/A2,ENVIRONMENTAL POLICY AND GOVERNANCE,1756-932X,.
14/A2,ENVIRONMENTAL POLITICS,0964-4016,.
14/A2,ENVIRONMENTAL SCIENCE & POLICY,1462-9011,.
14/A2,ETHICS & INTERNATIONAL AFFAIRS,0892-6794,.
14/A2,EUROPEAN FOREIGN AFFAIRS REVIEW,1384-6299,.
14/A2,EUROPEAN JOURNAL OF COMMUNICATION,0267-3231,.
14/A2,EUROPEAN JOURNAL OF INDUSTRIAL RELATIONS,0959-6801,.
14/A2,EUROPEAN JOURNAL OF INFORMATION SYSTEMS,0960-085X,.
14/A2,EUROPEAN JOURNAL OF INFORMATION SYSTEMS,1476-9344,.
14/A2,EUROPEAN JOURNAL OF INTERNATIONAL RELATIONS,1354-0661,.
14/A2,EUROPEAN JOURNAL OF POLITICAL ECONOMY,0176-2680,.
14/A2,EUROPEAN JOURNAL OF POLITICAL RESEARCH,0304-4130,.
14/A2,EUROPEAN JOURNAL OF POLITICAL RESEARCH,1475-6765,.
14/A2,EUROPEAN JOURNAL OF POLITICAL THEORY,1474-8851,.
14/A2,EUROPEAN JOURNAL OF POLITICAL THEORY,1741-2730,.
14/A2,EUROPEAN JOURNAL OF PUBLIC HEALTH,1101-1262,.
14/A2,EUROPEAN JOURNAL OF WOMEN'S STUDIES,1350-5068,.
14/A2,EUROPEAN POLITICAL SCIENCE,1680-4333,.
14/A2,EUROPEAN POLITICAL SCIENCE,1682-0983,.
14/A2,EUROPEAN POLITICAL SCIENCE REVIEW,1755-7739,.
14/A2,EUROPEAN POLITICS AND SOCIETY,2374-5118,.
14/A2,EUROPEAN POLITICS AND SOCIETY,2374-5126,.
14/A2,EUROPEAN SECURITY,0966-2839,.
14/A2,EUROPEAN SECURITY,1746-1545,.
14/A2,EUROPEAN SOCIETIES,1461-6696,.
14/A2,EUROPEAN UNION POLITICS,1465-1165,.
14/A2,EUROPE-ASIA STUDIES,0966-8136,.
14/A2,EUROPE-ASIA STUDIES,1465-3427,.
14/A2,EVALUATION,1356-3890,.
14/A2,EVALUATION AND PROGRAM PLANNING,0149-7189,.
14/A2,FOREIGN AFFAIRS,0015-7120,.
14/A2,FOREIGN POLICY ANALYSIS,1743-8586,.
14/A2,FOREIGN POLICY ANALYSIS,1743-8594,.
14/A2,FRENCH POLITICS,1476-3419,.
14/A2,GENDER & SOCIETY,0891-2432,.
14/A2,GEOPOLITICS,1465-0045,.
14/A2,GERMAN POLITICS,0964-4008,.
14/A2,"GLOBAL CHANGE, PEACE & SECURITY",1478-1158,.
14/A2,GLOBAL CRIME,1744-0572,.
14/A2,GLOBAL CRIME,1744-0580,.
14/A2,GLOBAL ENVIRONMENTAL POLITICS,1526-3800,.
14/A2,GLOBAL GOVERNANCE,1075-2846,.
14/A2,GLOBAL MEDIA AND COMMUNICATION,1742-7665,.
14/A2,GLOBAL MEDIA AND COMMUNICATION,1742-7673,.
14/A2,GLOBAL NETWORKS,1470-2266,.
14/A2,GLOBAL POLICY,1758-5899,.
14/A2,GLOBAL SOCIETY,1360-0826,.
14/A2,GLOBALIZATION AND HEALTH,1744-8603,.
14/A2,GOVERNANCE,0952-1895,.
14/A2,GOVERNANCE,1468-0491,.
14/A2,GOVERNMENT AND OPPOSITION,0017-257X,.
14/A2,GOVERNMENT AND OPPOSITION,1477-7053,.
14/A2,GOVERNMENT INFORMATION QUARTERLY,0740-624X,.
14/A2,GROUP DECISION AND NEGOTIATION,0926-2644,.
14/A2,HARVARD INTERNATIONAL JOURNAL OF PRESS-POLITICS,1081-180X,.
14/A2,HEALTH POLICY,0168-8510,.
14/A2,HIGHER EDUCATION,0018-1560,.
14/A2,HIGHER EDUCATION POLICY,0952-8733,.
14/A2,HISTORY OF POLITICAL THOUGHT,0143-781X,.
14/A2,HOBBES STUDIES,0921-5891,.
14/A2,HUMAN RELATIONS,0018-7267,.
14/A2,HUMAN RIGHTS QUARTERLY,0275-0392,.
14/A2,INDEPENDENT REVIEW,1086-1653,.
14/A2,INDUSTRIAL RELATIONS,0019-8676,.
14/A2,INFORMATION TECHNOLOGY & PEOPLE,0959-3845,.
14/A2,"INFORMATION, COMMUNICATION & SOCIETY",1369-118X,.
14/A2,INTERECONOMICS,0020-5346,.
14/A2,INTERNATIONAL AFFAIRS,0020-5850,.
14/A2,INTERNATIONAL AFFAIRS,1468-2346,.
14/A2,"INTERNATIONAL ENVIRONMENTAL AGREEMENT: POLITICS, LAW AND ECONOMICS",1567-9764,.
14/A2,"INTERNATIONAL ENVIRONMENTAL AGREEMENTS: POLITICS, LAW AND ECONOMICS",1573-1553,.
14/A2,INTERNATIONAL FEMINIST JOURNAL OF POLITICS,1461-6742,.
14/A2,INTERNATIONAL INTERACTIONS,0305-0629,.
14/A2,INTERNATIONAL INTERACTIONS,1547-7444,.
14/A2,INTERNATIONAL JOURNAL OF CONSTITUTIONAL LAW,1474-2640,.
14/A2,INTERNATIONAL JOURNAL OF CULTURAL POLICY,1028-6632,.
14/A2,INTERNATIONAL JOURNAL OF FORECASTING,0169-2070,.
14/A2,"INTERNATIONAL JOURNAL OF LAW, POLICY, AND THE FAMILY",1360-9939,.
14/A2,INTERNATIONAL JOURNAL OF MIDDLE EAST STUDIES,0020-7438,.
14/A2,"INTERNATIONAL JOURNAL OF POLITICS, CULTURE, AND SOCIETY",0891-4486,.
14/A2,INTERNATIONAL JOURNAL OF PUBLIC ADMINISTRATION,0190-0692,.
14/A2,INTERNATIONAL JOURNAL OF PUBLIC HEALTH,1661-8556,.
14/A2,INTERNATIONAL JOURNAL OF PUBLIC OPINION RESEARCH,0954-2892,.
14/A2,INTERNATIONAL JOURNAL OF PUBLIC OPINION RESEARCH,1471-6909,.
14/A2,INTERNATIONAL JOURNAL OF SOCIAL WELFARE,1369-6866,.
14/A2,INTERNATIONAL JOURNAL OF TRANSITIONAL JUSTICE,1752-7716,.
14/A2,INTERNATIONAL JOURNAL OF URBAN AND REGIONAL RESEARCH,0309-1317,.
14/A2,INTERNATIONAL JOURNAL OF URBAN AND REGIONAL RESEARCH,1468-2427,.
14/A2,INTERNATIONAL MIGRATION REVIEW,1747-7379,.
14/A2,INTERNATIONAL ORGANIZATION,0020-8183,.
14/A2,INTERNATIONAL ORGANIZATION,1531-5088,.
14/A2,INTERNATIONAL PEACEKEEPING,1353-3312,.
14/A2,INTERNATIONAL PEACEKEEPING,1380-748X,.
14/A2,INTERNATIONAL POLITICAL SCIENCE REVIEW,0192-5121,.
14/A2,INTERNATIONAL POLITICAL SOCIOLOGY,1749-5679,.
14/A2,INTERNATIONAL POLITICAL SOCIOLOGY,1749-5687,.
14/A2,INTERNATIONAL POLITICS,1384-5748,.
14/A2,INTERNATIONAL PUBLIC MANAGEMENT JOURNAL,1096-7494,.
14/A2,INTERNATIONAL RELATIONS,0047-1178,.
14/A2,INTERNATIONAL RELATIONS,1741-2862,.
14/A2,INTERNATIONAL RELATIONS OF THE ASIA-PACIFIC,1470-482X,.
14/A2,INTERNATIONAL REVIEW OF ADMINISTRATIVE SCIENCES,0020-8523,.
14/A2,INTERNATIONAL SECURITY,0162-2889,.
14/A2,INTERNATIONAL SECURITY,1531-4804,.
14/A2,INTERNATIONAL SOCIAL SCIENCE JOURNAL,0020-8701,.
14/A2,INTERNATIONAL SOCIAL SECURITY REVIEW,0020-871X,.
14/A2,INTERNATIONAL SOCIAL SECURITY REVIEW,1468-246X,.
14/A2,INTERNATIONAL STUDIES PERSPECTIVES,1528-3577,.
14/A2,INTERNATIONAL STUDIES PERSPECTIVES,1528-3585,.
14/A2,INTERNATIONAL STUDIES QUARTERLY,0020-8833,.
14/A2,INTERNATIONAL STUDIES QUARTERLY,1468-2478,.
14/A2,INTERNATIONAL STUDIES REVIEW,1468-2486,.
14/A2,INTERNATIONAL STUDIES REVIEW,1521-9488,.
14/A2,INTERNATIONAL THEORY,1752-9719,.
14/A2,INTERNET RESEARCH-ELECTRONIC NETWORKING APPLICATIONS AND POLICY,1066-2243,.
14/A2,JAPANESE JOURNAL OF POLITICAL SCIENCE,1468-1099,.
14/A2,JOURNAL OF ACCOUNTING AND PUBLIC POLICY,0278-4254,.
14/A2,JOURNAL OF ACCOUNTING AND PUBLIC POLICY,1873-2070,.
14/A2,JOURNAL OF AMERICAN HISTORY,0021-8723,.
14/A2,JOURNAL OF BEHAVIORAL DECISION MAKING,0894-3257,.
14/A2,JOURNAL OF BEHAVIORAL DECISION MAKING,1099-0771,.
14/A2,JOURNAL OF CHINESE POLITICAL SCIENCE,1080-6954,.
14/A2,JOURNAL OF COMMON MARKET STUDIES,0021-9886,.
14/A2,JOURNAL OF COMMON MARKET STUDIES,1468-5965,.
14/A2,JOURNAL OF CONFLICT RESOLUTION,0022-0027,.
14/A2,JOURNAL OF CONSUMER CULTURE,1469-5405,.
14/A2,JOURNAL OF CONSUMER CULTURE,1741-2900,.
14/A2,JOURNAL OF CONTEMPORARY CHINA,1469-9400,.
14/A2,JOURNAL OF CONTEMPORARY EUROPEAN RESEARCH,1815-347X,.
14/A2,JOURNAL OF CONTEMPORARY EUROPEAN STUDIES,1478-2804,.
14/A2,JOURNAL OF DEMOCRACY,1045-5736,.
14/A2,JOURNAL OF DEMOCRACY,1086-3214,.
14/A2,JOURNAL OF DEVELOPMENT STUDIES,0022-0388,.
14/A2,JOURNAL OF EASTERN AFRICAN STUDIES,1753-1055,.
14/A2,JOURNAL OF EASTERN AFRICAN STUDIES,1753-1063,.
14/A2,JOURNAL OF ECONOMIC LITERATURE,0022-0515,.
14/A2,JOURNAL OF EDUCATION POLICY,0268-0939,.
14/A2,JOURNAL OF EDUCATIONAL ADMINISTRATION,0957-8234,.
14/A2,"JOURNAL OF ELECTIONS, PUBLIC OPINION AND PARTIES",1745-7289,.
14/A2,JOURNAL OF EUROPEAN INTEGRATION,0703-6337,.
14/A2,JOURNAL OF EUROPEAN INTEGRATION,1477-2280,.
14/A2,JOURNAL OF EUROPEAN PUBLIC POLICY,1350-1763,.
14/A2,JOURNAL OF EUROPEAN PUBLIC POLICY,1466-4429,.
14/A2,JOURNAL OF EUROPEAN SOCIAL POLICY,0958-9287,.
14/A2,JOURNAL OF EUROPEAN SOCIAL POLICY,1461-7269,.
14/A2,JOURNAL OF HAPPINESS STUDIES,1389-4978,.
14/A2,JOURNAL OF HIGHER EDUCATION POLICY AND MANAGEMENT,1360-080X,.
14/A2,JOURNAL OF HIGHER EDUCATION POLICY AND MANAGEMENT,1469-9508,.
14/A2,JOURNAL OF INFORMATION TECHNOLOGY & POLITICS,1933-1681,.
14/A2,JOURNAL OF INFORMATION TECHNOLOGY & POLITICS,1933-169X,.
14/A2,JOURNAL OF INTERNATIONAL RELATIONS & DEVELOPMENT,1408-6980,.
14/A2,JOURNAL OF LAW ECONOMICS & ORGANIZATION,8756-6222,.
14/A2,JOURNAL OF LEGISLATIVE STUDIES,1357-2334,.
14/A2,JOURNAL OF MIXED METHODS RESEARCH,1558-6898,.
14/A2,JOURNAL OF MODERN AFRICAN STUDIES,0022-278X,.
14/A2,JOURNAL OF MODERN ITALIAN STUDIES,1354-571X,.
14/A2,JOURNAL OF NORTH AFRICAN STUDIES,1362-9387,.
14/A2,JOURNAL OF PEACE RESEARCH,0022-3433,.
14/A2,JOURNAL OF POLICY ANALYSIS AND MANAGEMENT,0276-8739,.
14/A2,JOURNAL OF POLICY ANALYSIS AND MANAGEMENT,1520-6688,.
14/A2,JOURNAL OF POLITICAL & MILITARY SOCIOLOGY,0047-2697,.
14/A2,JOURNAL OF POLITICAL IDEOLOGIES,1356-9317,.
14/A2,JOURNAL OF POLITICAL IDEOLOGIES,1469-9613,.
14/A2,JOURNAL OF POLITICAL MARKETING,1537-7857,.
14/A2,JOURNAL OF POLITICAL PHILOSOPHY,0963-8016,.
14/A2,JOURNAL OF POLITICAL PHILOSOPHY,1467-9760,.
14/A2,JOURNAL OF POLITICS,1468-2508,.
14/A2,JOURNAL OF PUBLIC ADMINISTRATION RESEARCH AND THEORY,1053-1858,.
14/A2,JOURNAL OF PUBLIC ADMINISTRATION RESEARCH AND THEORY,1477-9803,.
14/A2,JOURNAL OF PUBLIC AFFAIRS,1472-3891,.
14/A2,JOURNAL OF PUBLIC DELIBERATION,1937-2841,.
14/A2,JOURNAL OF PUBLIC ECONOMICS,0047-2727,.
14/A2,JOURNAL OF PUBLIC POLICY,0143-814X,.
14/A2,JOURNAL OF PUBLIC POLICY,1469-7815,.
14/A2,JOURNAL OF PUBLIC RELATIONS RESEARCH,1062-726X,.
14/A2,JOURNAL OF REFUGEE STUDIES,0951-6328,.
14/A2,JOURNAL OF SOCIAL POLICY,0047-2794,.
14/A2,JOURNAL OF SOCIAL POLICY,1469-7823,.
14/A2,JOURNAL OF SOCIOLOGY AND SOCIAL WELFARE,0191-5096,.
14/A2,JOURNAL OF STRATEGIC STUDIES,0140-2390,.
14/A2,JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION,1542-4766,.
14/A2,JOURNAL OF THEORETICAL POLITICS,0951-6298,.
14/A2,JOURNAL OF WOMEN POLITICS & POLICY,1554-477X,.
14/A2,JOURNAL OF WORLD TRADE,1011-6702,.
14/A2,JOURNALISM,1464-8849,.
14/A2,JOURNALISM,1741-3001,.
14/A2,KANT-STUDIEN,0022-8877,.
14/A2,LATIN AMERICAN PERSPECTIVES,0094-582X,.
14/A2,LATIN AMERICAN POLITICS AND SOCIETY,1531-426X,.
14/A2,LATIN AMERICAN POLITICS AND SOCIETY,1548-2456,.
14/A2,LAW & SOCIETY REVIEW,0023-9216,.
14/A2,LAW & SOCIETY REVIEW,1540-5893,.
14/A2,LEGISLATIVE STUDIES QUARTERLY,0362-9805,.
14/A2,LOCAL GOVERNMENT STUDIES,0300-3930,.
14/A2,MARINE POLICY,0308-597X,.
14/A2,MEDITERRANEAN POLITICS,1362-9395,.
14/A2,MIDDLE EAST CRITIQUE,1943-6149,.
14/A2,MIDDLE EAST POLICY,1061-1924,.
14/A2,MIDDLE EAST POLICY,1475-4967,.
14/A2,MILLENNIUM,0305-8298,.
14/A2,MOBILIZATION,1086-671X,.
14/A2,MODERN ITALY,1353-2944,.
14/A2,MONTHLY REVIEW-AN INDEPENDENT SOCIALIST MAGAZINE,0027-0520,.
14/A2,NATIONALISM AND ETHNIC POLITICS,1353-7113,.
14/A2,NATIONALITIES PAPERS,0090-5992,.
14/A2,NATIONS AND NATIONALISM,1354-5078,.
14/A2,NATIONS AND NATIONALISM,1469-8129,.
14/A2,NEW LEFT REVIEW,0028-6060,.
14/A2,NEW MEDIA & SOCIETY,1461-4448,.
14/A2,NEW POLITICAL ECONOMY,1356-3467,.
14/A2,NEW POLITICAL ECONOMY,1469-9923,.
14/A2,NEW POLITICAL SCIENCE,0739-3148,.
14/A2,ORGANIZATION STUDIES,0170-8406,.
14/A2,PARLIAMENTARY AFFAIRS,0031-2290,.
14/A2,PARLIAMENTARY AFFAIRS,1460-2482,.
14/A2,PARTY POLITICS,1354-0688,.
14/A2,PEACE AND CONFLICT,1078-1919,.
14/A2,PERSPECTIVES ON EUROPEAN POLITICS AND SOCIETY,1568-0258,.
14/A2,PERSPECTIVES ON EUROPEAN POLITICS AND SOCIETY,1570-5854,.
14/A2,PERSPECTIVES ON POLITICS,1537-5927,.
14/A2,PERSPEKTIVEN DER WIRTSCHAFTSPOLITIK,1465-6493,.
14/A2,PHILOSOPHY & PUBLIC AFFAIRS,0048-3915,.
14/A2,PHILOSOPHY AND PUBLIC AFFAIRS,1088-4963,.
14/A2,POLICY & SOCIETY,1449-4035,.
14/A2,POLICY AND POLITICS,0305-5736,.
14/A2,POLICY AND POLITICS,1470-8442,.
14/A2,POLICY SCIENCES,0032-2687,.
14/A2,POLICY SCIENCES,1573-0891,.
14/A2,POLICY STUDIES,0144-2872,.
14/A2,POLICY STUDIES,1470-1006,.
14/A2,POLICY STUDIES JOURNAL,0190-292X,.
14/A2,POLICY STUDIES JOURNAL,1541-0072,.
14/A2,POLITICAL ANALYSIS,1047-1987,.
14/A2,POLITICAL ANALYSIS,1476-4989,.
14/A2,POLITICAL BEHAVIOR,0190-9320,.
14/A2,POLITICAL BEHAVIOR,1573-6687,.
14/A2,POLITICAL COMMUNICATION,1058-4609,.
14/A2,POLITICAL COMMUNICATION,1091-7675,.
14/A2,POLITICAL GEOGRAPHY,0962-6298,.
14/A2,POLITICAL PSYCHOLOGY,0162-895X,.
14/A2,POLITICAL PSYCHOLOGY,1467-9221,.
14/A2,POLITICAL QUARTERLY,1467-923X,.
14/A2,POLITICAL RESEARCH QUARTERLY,1065-9129,.
14/A2,POLITICAL SCIENCE,0032-3187,.
14/A2,POLITICAL SCIENCE QUARTERLY,0032-3195,.
14/A2,POLITICAL STUDIES,0032-3217,.
14/A2,POLITICAL STUDIES,1467-9248,.
14/A2,POLITICAL STUDIES REVIEW,1478-9299,.
14/A2,POLITICAL STUDIES REVIEW,1478-9302,.
14/A2,POLITICAL THEORY,0090-5917,.
14/A2,POLITICAL THEORY,1552-7476,.
14/A2,POLITICS,0263-3957,.
14/A2,POLITICS & GENDER,1743-923X,.
14/A2,POLITICS & SOCIETY,0032-3292,.
14/A2,"POLITICS, PHILOSOPHY AND ECONOMICS",1470-594X,.
14/A2,POLITIKON,1583-3984,.
14/A2,POLITISCHE VIERTELJAHRESSCHRIFT,0032-3470,.
14/A2,POLITIX,0295-2319,.
14/A2,POLITIX,1953-8286,.
14/A2,POLITY,0032-3497,.
14/A2,POST-SOVIET AFFAIRS,1060-586X,.
14/A2,PROBLEMS OF POST-COMMUNISM,1075-8216,.
14/A2,PS - POLITICAL SCIENCE AND POLITICS,1537-5935,.
14/A2,"PS, POLITICAL SCIENCE & POLITICS",1049-0965,.
14/A2,PUBLIC ADMINISTRATION,0033-3298,.
14/A2,PUBLIC ADMINISTRATION,1467-9299,.
14/A2,PUBLIC ADMINISTRATION AND DEVELOPMENT,0271-2075,.
14/A2,PUBLIC ADMINISTRATION REVIEW,0033-3352,.
14/A2,PUBLIC ADMINISTRATION REVIEW,1540-6210,.
14/A2,PUBLIC CHOICE,0048-5829,.
14/A2,PUBLIC CHOICE,1573-7101,.
14/A2,PUBLIC MANAGEMENT REVIEW,1471-9037,.
14/A2,PUBLIC OPINION QUARTERLY,0033-362X,.
14/A2,PUBLIC OPINION QUARTERLY,1537-5331,.
14/A2,PUBLIC ORGANIZATION REVIEW,1566-7170,.
14/A2,PUBLIUS,0048-5950,.
14/A2,QUADERNI DI SCIENZA POLITICA,1124-7959,.
14/A2,QUALITATIVE INQUIRY,1077-8004,.
14/A2,QUALITATIVE RESEARCH,1468-7941,.
14/A2,QUALITATIVE SOCIOLOGY,0162-0436,.
14/A2,QUALITY & QUANTITY,0033-5177,.
14/A2,QUALITY AND QUANTITY,1573-7845,.
14/A2,QUARTERLY JOURNAL OF POLITICAL SCIENCE,1554-0626,.
14/A2,QUARTERLY JOURNAL OF POLITICAL SCIENCE,1554-0634,.
14/A2,REGIONAL AND FEDERAL STUDIES,1359-7566,.
14/A2,REGIONAL STUDIES,0034-3404,.
14/A2,REGULATION & GOVERNANCE,1748-5983,.
14/A2,REGULATION & GOVERNANCE,1748-5991,.
14/A2,REPRESENTATION,0034-4893,.
14/A2,RES PUBLICA,1576-4184,.
14/A2,RESEARCH POLICY,0048-7333,.
14/A2,REVIEW OF AFRICAN POLITICAL ECONOMY,0305-6244,.
14/A2,REVIEW OF INTERNATIONAL ECONOMICS,0965-7576,.
14/A2,REVIEW OF INTERNATIONAL POLITICAL ECONOMY,0969-2290,.
