SETTORE CONCORSUALE,TITOLO,ISSN,NOTE
11/A1,ZEITGESCHICHTE,0256-5250,.
11/A1,ZEITSCHRIFT FÜR ANTIKES CHRISTENTUM,0949-9571,.
11/A1,ZEITSCHRIFT FÜR GESCHICHTSWISSENSCHAFT,0044-2828,.
11/A2,AB IMPERIO. STUDIES OF NEW IMPERIAL HISTORY AND NATIONALISM IN THE POST-SOVIET SPACE,2166-4072,.
11/A2,ACTA POLONIAE HISTORICA,0001-6829,.
11/A2,ANNALES,0353-8281,.
11/A2,ANNALES,0395-2649,.
11/A2,ANNALES,1953-8146,.
11/A2,ANNALES HISTORIQUES DE LA RÉVOLUTION FRANÇAISE,0003-4436,.
11/A2,ANNALES HISTORIQUES DE LA RÉVOLUTION FRANÇAISE,1952-403X,.
11/A2,ANNALI DELL'ISTITUTO STORICO ITALO-GERMANICO IN TRENTO,0392-0011,.
11/A2,ANNALI DI STORIA DELLE UNIVERSITÀ ITALIANE,1127-8250,.
11/A2,ANUARIO DE ESTUDIOS AMERICANOS,0210-5810,.
11/A2,ANUARIO DE ESTUDIOS AMERICANOS,1988-4273,.
11/A2,ANUARIO DE ESTUDIOS MEDIEVALES,0066-5061,.
11/A2,BIBLIOTHEQUE DE L'ECOLE DES CHARTES,0373-6237,.
11/A2,BRITISH JOURNAL FOR THE HISTORY OF SCIENCE,0007-0874,.
11/A2,BULLETIN OF THE HISTORY OF MEDICINE,0007-5140,.
11/A2,BULLETIN OF THE HISTORY OF MEDICINE,1086-3176,.
11/A2,BULLETTINO DELL'ISTITUTO STORICO ITALIANO PER IL MEDIO EVO,1127-6096,.
11/A2,BUSINESS HISTORY,0007-6791,.
11/A2,BUSINESS HISTORY REVIEW,0007-6805,.
11/A2,CAHIERS DE CIVILISATION MÉDIÉVALE,0007-9731,.
11/A2,CAHIERS DU MONDE RUSSE,1252-6576,.
11/A2,CENTRAL ASIAN SURVEY,0263-4937,.
11/A2,CENTRAL EUROPEAN HISTORY,0008-9389,.
11/A2,CENTRAL EUROPEAN HISTORY,1569-1616,.
11/A2,CHURCH HISTORY,0009-6407,.
11/A2,CITTA' E STORIA,1828-6364,.
11/A2,COMPARATIVE STUDIES IN SOCIETY AND HISTORY,0010-4175,.
11/A2,COMPARATIVE STUDIES IN SOCIETY AND HISTORY,1475-2999,.
11/A2,CONTEMPORANEA,1127-3070,.
11/A2,CONTEMPORARY EUROPEAN HISTORY,0960-7773,.
11/A2,CONTINUITY AND CHANGE,0268-4160,.
11/A2,"CRIME, HISTOIRE & SOCIÉTÉS",1422-0857,.
11/A2,CULTURAL AND SOCIAL HISTORY,1478-0038,.
11/A2,CULTURAL AND SOCIAL HISTORY,1478-0046,.
11/A2,DIPLOMATIC HISTORY,0145-2096,.
11/A2,EARLY MEDIEVAL EUROPE,0963-9462,.
11/A2,ECONOMIC HISTORY REVIEW,0013-0117,.
11/A2,ENTERPRISE & SOCIETY,1467-2227,.
11/A2,ENTERPRISE & SOCIETY,1467-2235,.
11/A2,ENVIRONMENT AND HISTORY,0967-3407,.
11/A2,ENVIRONMENTAL HISTORY,1084-5453,.
11/A2,EUROPEAN HISTORY QUARTERLY,0265-6914,.
11/A2,EUROPEAN REVIEW OF ECONOMIC HISTORY,1361-4916,.
11/A2,EUROPEAN REVIEW OF HISTORY,1350-7486,.
11/A2,EUROPEAN REVIEW OF HISTORY,1469-8293,.
11/A2,FINANCIAL HISTORY REVIEW,0968-5650,.
11/A2,FINANCIAL HISTORY REVIEW,1474-0052,.
11/A2,FRENCH HISTORICAL STUDIES,0016-1071,.
11/A2,FRENCH HISTORICAL STUDIES,1527-5493,.
11/A2,FRONTIERS OF HISTORY IN CHINA,1673-3401,.
11/A2,FRONTIERS OF HISTORY IN CHINA,1673-3525,.
11/A2,FRÜHMITTELALTERLICHE STUDIEN,0071-9706,.
11/A2,GENDER & HISTORY,0953-5233,.
11/A2,GENDER & HISTORY,1468-0424,.
11/A2,GENÈSES,1155-3219,.
11/A2,GENÈSES,1776-2944,.
11/A2,GENESIS,1167-5101,.
11/A2,GENESIS,1594-9281,.
11/A2,GESCHICHTE UND GESELLSCHAFT,0340-613X,.
11/A2,HISPANIA,0018-2141,.
11/A2,HISTOIRE SOCIALE,0018-2257,.
11/A2,"HISTOIRE, ÉCONOMIE ET SOCIÉTÉ",0752-5702,.
11/A2,HISTORIA AGRARIA,1139-1472,.
11/A2,HISTORICAL METHODS,0161-5440,.
11/A2,HISTORICAL METHODS,1940-1906,.
11/A2,HISTORISCHE ZEITSCHRIFT,0018-2613,.
11/A2,HISTORY AND ANTHROPOLOGY,0275-7206,.
11/A2,HISTORY AND ANTHROPOLOGY,1477-2612,.
11/A2,HISTORY AND THEORY,0018-2656,.
11/A2,HISTORY OF EUROPEAN IDEAS,0191-6599,.
11/A2,HISTORY OF EUROPEAN IDEAS,1873-541X,.
11/A2,HISTORY OF POLITICAL THOUGHT,0143-781X,.
11/A2,HISTORY OF RELIGIONS,0018-2710,.
11/A2,HISTORY OF RELIGIONS,1545-6935,.
11/A2,HISTORY OF SCIENCE,0073-2753,.
11/A2,HISTORY WORKSHOP JOURNAL,1363-3554,.
11/A2,HISTORY WORKSHOP JOURNAL,1477-4569,.
11/A2,IL PENSIERO POLITICO,0031-4846,.
11/A2,INDIAN ECONOMIC AND SOCIAL HISTORY REVIEW,0973-0893,.
11/A2,INDIAN HISTORICAL REVIEW,0975-5977,.
11/A2,INTELLECTUAL HISTORY REVIEW,1749-6977,.
11/A2,INTELLECTUAL HISTORY REVIEW,1749-6985,.
11/A2,INTERNATIONAL JOURNAL OF HERITAGE STUDIES,1352-7258,.
11/A2,INTERNATIONAL JOURNAL OF HERITAGE STUDIES,1470-3610,.
11/A2,INTERNATIONAL JOURNAL OF MIDDLE EAST STUDIES,0020-7438,.
11/A2,INTERNATIONAL JOURNAL OF MIDDLE EAST STUDIES,1471-6380,.
11/A2,INTERNATIONAL REVIEW OF SOCIAL HISTORY,0020-8590,.
11/A2,INTERNATIONAL REVIEW OF SOCIAL HISTORY,1469-512X,.
11/A2,JOURNAL OF AFRICAN HISTORY,0021-8537,.
11/A2,JOURNAL OF AFRICAN HISTORY,1469-5138,.
11/A2,JOURNAL OF AMERICAN HISTORY,0021-8723,.
11/A2,JOURNAL OF BALTIC STUDIES,0162-9778,.
11/A2,JOURNAL OF CONTEMPORARY HISTORY,0022-0094,.
11/A2,JOURNAL OF CONTEMPORARY HISTORY,1461-7250,.
11/A2,JOURNAL OF EARLY MODERN HISTORY,1385-3783,.
11/A2,JOURNAL OF EARLY MODERN HISTORY,1570-0658,.
11/A2,JOURNAL OF FAMILY HISTORY,0363-1990,.
11/A2,JOURNAL OF FAMILY HISTORY,1552-5473,.
11/A2,JOURNAL OF GLOBAL HISTORY,1740-0228,.
11/A2,JOURNAL OF GLOBAL HISTORY,1740-0236,.
11/A2,JOURNAL OF HISTORICAL GEOGRAPHY,0305-7488,.
11/A2,JOURNAL OF INTERDISCIPLINARY HISTORY,0022-1953,.
11/A2,JOURNAL OF MEDIEVAL AND EARLY MODERN STUDIES,1082-9636,.
11/A2,JOURNAL OF MEDIEVAL AND EARLY MODERN STUDIES,1527-8263,.
11/A2,JOURNAL OF MODERN HISTORY,0022-2801,.
11/A2,JOURNAL OF MODERN ITALIAN STUDIES,1354-571X,.
11/A2,JOURNAL OF SOCIAL HISTORY,0022-4529,.
11/A2,JOURNAL OF SOCIAL HISTORY,1527-1897,.
11/A2,JOURNAL OF THE HISTORY OF COLLECTIONS,0954-6650,.
11/A2,JOURNAL OF THE HISTORY OF COLLECTIONS,1477-8564,.
11/A2,JOURNAL OF THE HISTORY OF IDEAS,0022-5037,.
11/A2,JOURNAL OF THE HISTORY OF IDEAS,1086-3222,.
11/A2,JOURNAL OF URBAN HISTORY,0096-1442,.
11/A2,JOURNAL OF URBAN HISTORY,1552-6771,.
11/A2,JOURNAL OF WOMEN'S HISTORY,1042-7961,.
11/A2,KRITIKA,1531-023X,.
11/A2,LA RÉVOLUTION FRANÇAISE,2105-2557,.
11/A2,LATOMUS,0023-8856,.
11/A2,LATOMUS,2294-4427,.
11/A2,LE CARTE E LA STORIA,1123-5624,.
11/A2,LE MOYEN-ÂGE,0027-2841,.
11/A2,MEDITERRANEA. RICERCHE STORICHE,1824-3010,.
11/A2,MEDITERRANEA. RICERCHE STORICHE,1828-230X,.
11/A2,MÉLANGES DE L'ÉCOLE FRANÇAISE DE ROME. ANTIQUITÉ,0223-5102,.
11/A2,MÉLANGES DE L'ÉCOLE FRANÇAISE DE ROME. ITALIE ET MÉDITERRANÉE,1123-9891,.
11/A2,MÉLANGES DE L'ÉCOLE FRANÇAISE DE ROME. ITALIE ET MÉDITERRANÉE,1724-2142,.
11/A2,MÉLANGES DE L'ÉCOLE FRANÇAISE DE ROME. MOYEN AGE,1123-9883,.
11/A2,MEMORIA E RICERCA,1127-0195,.
11/A2,MODERN ASIAN STUDIES,0026-749X,.
11/A2,MODERN ASIAN STUDIES,1469-8099,.
11/A2,MODERN CHINA,0097-7004,.
11/A2,MODERN CHINA,1552-6836,.
11/A2,MONDO CONTEMPORANEO,1825-8905,.
11/A2,NATIONALITIES PAPERS,0090-5992,.
11/A2,NUMEN,0029-5973,.
11/A2,NUOVA RIVISTA STORICA,0029-6236,.
11/A2,ÖZG. ÖSTERREICHISCHE ZEITSCHRIFT FÜR GESCHICHTSWISSENSCHAFTEN,1016-765X,.
11/A2,PASSATO E PRESENTE,1120-0650,.
11/A2,PAST & PRESENT,0031-2746,.
11/A2,PAST & PRESENT,1477-464X,.
11/A2,POPULATION STUDIES,0032-4728,.
11/A2,POPULATION STUDIES,1477-4747,.
11/A2,QUADERNI STORICI,0301-6307,.
11/A2,QUELLEN UND FORSCHUNGEN AUS ITALIENISCHEN ARCHIVEN UND BIBLIOTHEKEN,0079-9068,.
11/A2,RELIGION,0048-721X,.
11/A2,RELIGION,1096-1151,.
11/A2,RENAISSANCE AND REFORMATION,0034-429X,.
11/A2,RENAISSANCE QUARTERLY,0034-4338,.
11/A2,RENAISSANCE QUARTERLY,1935-0236,.
11/A2,RENAISSANCE STUDIES,0269-1213,.
11/A2,RENAISSANCE STUDIES,1477-4658,.
11/A2,RETHINKING HISTORY,1364-2529,.
11/A2,RETHINKING HISTORY,1470-1154,.
11/A2,REVUE DE L'HISTOIRE DES RELIGIONS,0035-1423,.
11/A2,REVUE DES ETUDES SLAVES,0080-2557,.
11/A2,REVUE D'HISTOIRE ECCLÉSIASTIQUE,0035-2381,.
11/A2,REVUE D'HISTOIRE MODERNE ET CONTEMPORAINE,0048-8003,.
11/A2,REVUE HISTORIQUE,0035-3264,.
11/A2,RICERCHE DI STORIA POLITICA,1120-9526,.
11/A2,RICERCHE SLAVISTICHE,0391-4127,.
11/A2,RINASCIMENTO,0080-3073,.
11/A2,RIVISTA DI STORIA DEL CRISTIANESIMO,1827-7365,.
11/A2,RIVISTA DI STORIA DELLA CHIESA IN ITALIA,0035-6557,.
11/A2,RIVISTA DI STORIA E LETTERATURA RELIGIOSA,0035-6573,.
11/A2,RIVISTA STORICA ITALIANA,0035-7073,.
11/A2,RM RIVISTA,1593-2214,.
11/A2,RŐMISCHE QUARTALSCHRIFT FŰR CHRISTLICHE ALTERTUMSKUNDE UND KIRCHENGESCHICHTE,0035-7812,.
11/A2,ROSSIISKAIA ISTORIIA (OTEčESTVENNAÂ ISTORIÂ),0869-5687,.
11/A2,SCHWEIZERISCHE ZEITSCHRIFT FÜR GESCHICHTE,0036-7834,.
11/A2,SCRITTURA E CIVILTÀ,0392-1697,.
11/A2,SEIZIÈME SIÈCLE,1774-4466,.
11/A2,SLAVIC REVIEW,0037-6779,.
11/A2,SLAVONIC AND EAST EUROPEAN REVIEW,0037-6795,.
11/A2,SOCIAL HISTORY,0307-1022,.
11/A2,SOCIAL HISTORY OF MEDICINE,0951-631X,.
11/A2,SOCIAL HISTORY OF MEDICINE,1477-4666,.
11/A2,SOCIETÀ E STORIA,0391-6987,.
11/A2,SOUTH AFRICAN HISTORICAL JOURNAL,0258-2473,.
11/A2,SOUTH AFRICAN HISTORICAL JOURNAL,1726-1686,.
11/A2,STORIA DELLA STORIOGRAFIA,0392-8926,.
11/A2,STORIA URBANA,0391-2248,.
11/A2,STORIA URBANA,1972-5523,.
11/A2,STORICA,1125-0194,.
11/A2,STORICA,1973-2236,.
11/A2,STUDI E MATERIALI DI STORIA DELLE RELIGIONI,0393-8417,.
11/A2,STUDI MEDIEVALI,0391-8467,.
11/A2,STUDI STORICI,0039-3037,.
11/A2,SZÁZADOK,0039-8098,.
11/A2,TEXTILE HISTORY,0040-4969,.
11/A2,TEXTILE HISTORY,1743-2952,.
11/A2,THE AMERICAN HISTORICAL REVIEW,0002-8762,.
11/A2,THE BRITISH JOURNAL FOR THE HISTORY OF SCIENCE,1474-001X,.
11/A2,THE ECONOMIC HISTORY REVIEW,1468-0289,.
11/A2,THE ENGLISH HISTORICAL REVIEW,0013-8266,.
11/A2,THE ENGLISH HISTORICAL REVIEW,1477-4534,.
11/A2,THE HISPANIC AMERICAN HISTORICAL REVIEW,0018-2168,.
11/A2,THE HISPANIC AMERICAN HISTORICAL REVIEW,1527-1900,.
11/A2,THE HISTORICAL JOURNAL,0018-246X,.
11/A2,THE HISTORICAL JOURNAL,1469-5103,.
11/A2,THE HISTORY OF THE FAMILY,1081-602X,.
11/A2,THE HISTORY OF THE FAMILY,1873-5398,.
11/A2,THE INDIAN ECONOMIC AND SOCIAL HISTORY REVIEW,0019-4646,.
11/A2,THE INDIAN HISTORICAL REVIEW,0376-9836,.
11/A2,THE INTERNATIONAL HISTORY REVIEW,0707-5332,.
11/A2,THE JOURNAL OF ECCLESIASTICAL HISTORY,0022-0469,.
11/A2,THE JOURNAL OF ECONOMIC HISTORY,0022-0507,.
11/A2,THE JOURNAL OF ECONOMIC HISTORY,1471-6372,.
11/A2,THE JOURNAL OF INTERDISCIPLINARY HISTORY,1530-9169,.
11/A2,THE JOURNAL OF MILITARY HISTORY,0899-3718,.
11/A2,THE JOURNAL OF MILITARY HISTORY,1543-7795,.
11/A2,THE JOURNAL OF MODERN HISTORY,1537-5358,.
11/A2,THE RUSSIAN REVIEW,0036-0341,.
11/A2,THE SIXTEENTH CENTURY JOURNAL,0361-0160,.
11/A2,TRANSACTIONS OF THE ROYAL HISTORICAL SOCIETY,0080-4401,.
11/A2,TRANSACTIONS OF THE ROYAL HISTORICAL SOCIETY,1474-0648,.
11/A2,UKRAÏNSʹKIJ ÌSTORIČNIJ ŽURNAL,0130-5247,.
11/A2,VIATOR,0083-5897,.
11/A2,VIERTELJAHRSHEFTE FÜR ZEITGESCHICHTE,0042-5702,.
11/A2,VINGTIÈME SIÈCLE,1950-6678,.
11/A2,"VINGTIÈME SIÈCLE, REVUE D'HISTOIRE",0294-1759,.
11/A2,WAR IN HISTORY,0968-3445,.
11/A2,WAR IN HISTORY,1477-0385,.
11/A2,XVIIE SIÈCLE,0012-4273,.
11/A2,ZEITGESCHICHTE,0256-5250,.
11/A2,ZEITSCHRIFT FÜR ANTIKES CHRISTENTUM,0949-9571,.
11/A2,ZEITSCHRIFT FÜR GESCHICHTSWISSENSCHAFT,0044-2828,.
11/A3,20 CENTURY BRITISH HISTORY,0955-2359,.
11/A3,AB IMPERIO. STUDIES OF NEW IMPERIAL HISTORY AND NATIONALISM IN THE POST-SOVIET SPACE,2166-4072,.
11/A3,ACTA POLONIAE HISTORICA,0001-6829,.
11/A3,AFRICA,0001-9720,.
11/A3,AFRICA,1750-0184,.
11/A3,ANNALES,0353-8281,.
11/A3,ANNALES,0395-2649,.
11/A3,ANNALES,1953-8146,.
11/A3,ANNALES HISTORIQUES DE LA RÉVOLUTION FRANÇAISE,0003-4436,.
11/A3,ANNALES HISTORIQUES DE LA RÉVOLUTION FRANÇAISE,1952-403X,.
11/A3,ANNALI DELL'ISTITUTO STORICO ITALO-GERMANICO IN TRENTO,0392-0011,.
11/A3,ANNALI DI STORIA DELLE UNIVERSITÀ ITALIANE,1127-8250,.
11/A3,ANUARIO DE ESTUDIOS AMERICANOS,0210-5810,.
11/A3,ANUARIO DE ESTUDIOS AMERICANOS,1988-4273,.
11/A3,ANUARIO DE ESTUDIOS MEDIEVALES,0066-5061,.
11/A3,ASIAN STUDIES REVIEW,1035-7823,.
11/A3,ASIAN STUDIES REVIEW,1467-8403,.
11/A3,AYER,1134-2277,.
11/A3,BIBLIOTHEQUE DE L'ECOLE DES CHARTES,0373-6237,.
11/A3,BRITISH JOURNAL FOR THE HISTORY OF SCIENCE,0007-0874,.
11/A3,BULLETIN OF THE HISTORY OF MEDICINE,0007-5140,.
11/A3,BULLETIN OF THE HISTORY OF MEDICINE,1086-3176,.
