TITOLO,ISSN
CANADIAN JOURNAL OF PHILOSOPHY,0045-5091
CANADIAN JOURNAL OF PHILOSOPHY,1911-0820
CANADIAN JOURNAL OF SOCIOLOGY,0318-6431
CANADIAN JOURNAL OF ZOOLOGY,0008-4301
CANADIAN MATHEMATICAL BULLETIN,0008-4395
CANCER NURSING,0162-220X
CAPITAL & CLASS,0309-8168
"CAPITALISM, NATURE, SOCIALISM",1045-5752
CAPLLETRA,0214-8188
CAPOVERSO,.
CAPYS,1121-788X
CAPYS. RIVISTA DI STORIA E SCIENZE RELIGIOSE,2239-5423
CARDIOVASCULAR PATHOLOGY,1054-8807
CARDIOVASCULAR RESEARCH,0008-6363
CARDIOVASCULAR RESEARCH,1755-3245
CARDIOVASCULAR ULTRASOUND,1476-7120
CARRETERAS,0212-6389
CARTA,1594-0772
CARTE DI VIAGGIO,1974-0557
CARTE ITALIANE,0737-9412
CARTE SEMIOTICHE,2281-0757
CARTEVIVE,1421-3354
CARTHAGINENSIA,0213-4381
CARTOGRAPHICA,0317-7173
CASPUR ANNUAL REPORT....,2279-9494
CASSAZIONE PENALE,1125-856X
CASSIRER STUDIES,2035-3960
CASSIRER STUDIES,2038-6575
CATALOGING & CLASSIFICATION QUARTERLY,0163-9374
CATENA,0341-8162
CATHOLIC HISTORICAL REVIEW,0008-8080
CE FASTU?,1828-4302
CELL,0092-8674
CELL REPORTS,2211-1247
CELL STEM CELL,1934-5909
CENACOLO,0392-1409
CENOBIO,0008-896X
CENTAURUS,0008-8994
CENTRAL ASIAN SURVEY,0263-4937
CENTRAL EUROPEAN HISTORY,0008-9389
CENTRAL EUROPEAN HISTORY,1569-1616
CEPS JOURNAL,1855-9719
CEPS JOURNAL,2232-2647
CERCLES,1139-0158
CEREBELLUM,1473-4222
CEREBELLUM,1473-4230
CEREBRAL CORTEX,1047-3211
CEREBROVASCULAR DISEASES,1015-9770
CESKY LID,0009-0794
CHAOS E KOSMOS,1827-0468
CHEIRON,1127-8951
CHEIRON,1127-8951
CHEMISTRY IN ECOLOGY,0275-7540
CHEMISTRY-A EUROPEAN JOURNAL,0947-6539
CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS,0169-7439
CHIASMI INTERNATIONAL,1637-6757
CHIESA E STORIA,2239-1975
CHILD DEVELOPMENT,0009-3920
CHILDHOOD & PHILOSOPHY,1554-6713
CHILDHOOD & PHILOSOPHY,1984-5987
CHILDHOOD AND SOCIETY,.
CHILDREN AND YOUTH SERVICES REVIEW,0190-7409
CHILDREN'S GEOGRAPHIES,1473-3277
CHILDREN'S GEOGRAPHIES,1473-3285
CHIMÈRES,0986-6035
CHIMICA OGGI-CHEMISTRY TODAY,0392-839X
CHINA HERITAGE QUARTERLY,1833-8461
CHINA INFORMATION,0920-203X
CHINESE SEMIOTIC STUDIES,.
CHORA,1974-1979
CHOREOLA,1121-3027
CHRÉTIENS ET SOCIÉTÉS XVIE-XXE SIÈCLES,1257-127X
CHRISTIANITAS,2281-7093
CHRONICA MUNDI,2239-7515
CHRONICA NOVA,0210-9611
CHRONIQUE D'HISTOIRE MARITIME,0243-6671
CHRONIQUES ALLEMANDES,1167-4733
CHRONIQUES DE PORT-ROYAL,0529-4975
CHRONIQUES ITALIENNES,1634-0272
CHRONOBIOLOGY INTERNATIONAL,0742-0528
CHRONOBIOLOGY INTERNATIONAL,1525-6073
CHRONOS,1127-2775
CHRONOS,1608-7526
CHUÁNXÍ LÙ,1010-0725
CHURCH HISTORY,0009-6407
CHURCH HISTORY AND RELIGIOUS CULTURE,1871-241X
CICLO EVOLUTIVO E DISABILITÀ,1721-0151
CIENCIA TOMISTA,0210-0398
CIÊNCIAS HUMANAS EM REVISTA,1678-8192
CIÊNCIAS SOCIAIS UNISINOS,1519-7050
CINEMA & CIE,2035-5270
CINEMA E STORIA,2281-1729
CINEMA NUOVO,0009-711X
CINÉMAS,1181-6945
CINEMASCOPE,2240-4724
CINERGIE,1824-3495
CIRCULATION. CARDIOVASCULAR IMAGING,1941-9651
CIRPIT REVIEW,.
CITES,1299-5495
CITIES,0264-2751
"CITIUS, ALTIUS, FORTIUS",2340-9886
CITIZENSHIP STUDIES,1362-1025
CITTA' E STORIA,1828-6364
CITTÀ RIVISTA,1724-4323
CITY,1360-4813
CITY,1470-3629
"CITY, CULTURE AND SOCIETY",1877-9166
CIVILISATIONS,0009-8140
CIVILTÀ CLASSICA E CRISTIANA,0392-8632
CIVILTÀ DEL MEDITERRANEO,1120-9860
CIVILTÀ DEL RINASCIMENTO,1591-7894
CIVIS,1128-2126
CIVITAS,0009-8191
CIVITAS,1519-6089
CIVITAS EDUCATIONIS,2280-6865
CIVITAS EDUCATIONIS,2281-9568
CLADISTICS-THE INTERNATIONAL JOURNAL OF THE WILLI HENNIG SOCIETY,0748-3007
CLASSICA ET CHRISTIANA,1842-3043
CLASSICAL AND QUANTUM GRAVITY,0264-9381
CLASSICAL PHILOLOGY,0009-837X
CLASSICAL QUARTERLY,0009-8388
CLASSICS@,.
CLIMATIC CHANGE,0165-0009
CLINICA TERMALE,0390-8712
CLINICAL ANATOMY,0897-3806
CLINICAL AND EXPERIMENTAL RHEUMATOLOGY,0392-856X
CLINICAL CANCER RESEARCH,1078-0432
CLINICAL CHEMISTRY AND LABORATORY MEDICINE,1434-6621
CLINICAL HEMORHEOLOGY AND MICROCIRCULATION,1386-0291
CLINICAL JOURNAL OF SPORT MEDICINE,1050-642X
CLINICAL JOURNAL OF SPORT MEDICINE,1536-3724
CLINICAL MANAGEMENT ISSUES,1973-4832
CLINICAL MEDICINE,1470-2118
CLINICAL NEUROLOGY AND NEUROSURGERY,0303-8467
CLINICAL NEUROPHARMACOLOGY,0362-5664
CLINICAL NEUROPHYSIOLOGY,1388-2457
CLINICAL NEUROPHYSIOLOGY,1872-8952
CLINICAL OPHTHALMOLOGY,1177-5483
CLINICAL PHYSIOLOGY AND FUNCTIONAL IMAGING,1475-097X
CLINICAL PRACTICE AND EPIDEMIOLOGY IN MENTAL HEALTH,1745-0179
CLINICAL REHABILITATION,0269-2155
CLINICAL SCIENCE,0143-5221
CLINICAL SCIENCE,1470-8736
CLINICAL TRIALS JOURNAL,0009-9325
CLIO,0391-6731
CLIO,0884-2043
CLÍO & CRIMEN,1698-4374
CLIO @ THEMIS,2105-0929
"CLIO. HISTOIRE, FEMMES ET SOCIETES",1252-7017
CLIOMETRICA,1863-2505
CLIOMETRICA,1863-2513
CLOSE-UP,1827-4986
CMAJ,0820-3946
CNS DRUGS,1172-7047
CNS SPECTRUMS,1092-8529
COASTAL MANAGEMENT,0892-0753
CODICES MANUSCRIPTI,0379-3621
COGNITIO-ESTUDOS,1809-8428
COGNITION,0010-0277
COGNITION AND INSTRUCTION,0737-0008
COGNITION AND INSTRUCTION,1532-690X
COGNITIVE AND BEHAVIORAL NEUROLOGY,1543-3633
COGNITIVE COMPUTATION,1866-9956
COGNITIVE NEUROPSYCHIATRY,1354-6805
COGNITIVE NEUROPSYCHOLOGY,0264-3294
COGNITIVE PROCESSING,1612-4782
COGNITIVE SCIENCE,0364-0213
COGNITIVE SEMIOTICS,1662-1425
COGNITIVE SYSTEMS,0256-663X
COGNITIVE SYSTEMS RESEARCH,1389-0417
COLD WAR HISTORY,1468-2745
COLD WAR INTERNATIONAL HISTORY PROJECT BULLETIN,1071-9652
COLLECTANEA CHRISTIANA ORIENTALIA,1697-2104
COLLECTANEA FRANCISCANA,0010-0749
COLLEGIUM ANTROPOLOGICUM,0350-6134
COLLEGIUM GEOGRAPHICUM,2065-3859
COLLINGWOOD AND BRITISH IDEALISM STUDIES,1744-9413
COLLOQUI,.
COLLOQUIUM PHILOSOPHICUM,1126-9170
COLONIAL LATIN AMERICAN REVIEW,1060-9164
COLORE,1590-3079
COMMA,1680-1865
COMMENTARI D'ARTE,1974-6385
COMMENTARI DELL'ATENEO DI BRESCIA PER L'ANNO...,1594-8218
COMMENTARIUM PRO RELIGIOSIS ET MISSIONARIIS,1124-0172
COMMENTATIONES MATHEMATICAE UNIVERSITATIS CAROLINAE,0010-2628
COMMUNICATION EDUCATION,0363-4523
COMMUNICATION EDUCATION,1479-5795
COMMUNICATION ET ORGANISATION,1168-5549
COMMUNICATIONS,1877-539X
COMMUNICATIONS IN CONTEMPORARY MATHEMATICS,0219-1997
COMMUNICATIONS IN MATHEMATICS,1804-1388
COMMUNISME,0751-3496
COMMUNITAS,1825-4993
COMMUNITY ECOLOGY,1585-8553
COMPAR(A)ISON,0942-8917
COMPARATIV,0940-3566
COMPARATIVE EDUCATION,0305-0068
COMPARATIVE EDUCATION,1360-0486
COMPARATIVE EDUCATION REVIEW,0010-4086
COMPARATIVE EDUCATION REVIEW,1545-701X
COMPARATIVE LITERATURE STUDIES,0010-4132
COMPARATIVE ORIENTAL MANUSCRIPT STUDIES BULLETIN,2410-0951
COMPARATIVE ORIENTAL MANUSCRIPT STUDIES NEWSLETTER,2078-3841
COMPARATIVE STUDIES IN SOCIETY AND HISTORY,0010-4175
COMPARATIVE STUDIES IN SOCIETY AND HISTORY,1475-2999
COMPEL,0332-1649
COMPLESSITÀ,.
COMPLEXITY,1099-0526
COMPRENDRE,1139-9759
COMPRENDRE,1827-4277
COMPTABILITÉ(S),1775-3554
COMPTES RENDUS BIOLOGIES,1631-0691
COMPTES RENDUS MATHEMATIQUE,1631-073X
COMPTES RENDUS MECANIQUE,1631-0721
COMPTES RENDUS. GÉOSCIENCE,1631-0713
COMPUTATIONAL AND MATHEMATICAL ORGANIZATION THEORY,1381-298X
COMPUTATIONAL ECONOMICS,0927-7099
COMPUTER PHYSICS COMMUNICATIONS,0010-4655
COMPUTER PROGRAMMING,1123-8526
COMPUTER SUPPORTED COOPERATIVE WORK,0925-9724
COMPUTERS & EDUCATION,0360-1315
COMPUTERS IN HUMAN BEHAVIOR,0747-5632
"COMPUTERS, ENVIRONMENT AND URBAN SYSTEMS",0198-9715
COMUNICAR,1134-3478
COMUNICARE,1827-0905
COMUNICARE LETTERATURA,2035-1232
COMUNICAZIONE FILOSOFICA,1128-9082
COMUNICAZIONE POLITICA,1594-6061
COMUNICAZIONEPUNTODOC,2282-0140
COMUNICAZIONI SOCIALI,0392-8667
COMUNICAZIONI SOCIALI,1827-7969
CONCEPTOS. REVISTA DE INVESTIGACIÓN GRACIANA,1697-2775
CONCEPTUS,0010-5155
CONCILIUM,0010-5236
CONCILIUM,0210-1041
CONCILIUM,0588-9804
CONCILIUM,1125-7164
CONCILIUM,1414-7327
CONCURRENCY AND COMPUTATION,1532-0626
CONFÉRENCE,1269-0732
CONFINIA CEPHALALGICA,1122-0279
CONFINIA NEUROPSYCHIATRICA,.
CONFLITTI GLOBALI,.
CONFLUENCES,1780-8995
CONFLUENZE,2036-0967
CONFRATERNITAS,1180-0682
CONGIUNTURA,1827-0727
CONJECTURA,0103-1457
CONJONCTURES ET POLITIQUE,0827-5548
CONNECTION SCIENCE,0954-0091
CONNESSIONI,1720-6057
CONOSCENZA RELIGIOSA,2037-660X
CONSCIOUSNESS AND COGNITION,1053-8100
CONSECUTIO TEMPORUM,2239-1061
CONSERVATION BIOLOGY,0888-8892
CONSERVATION SCIENCE IN CULTURAL HERITAGE,1974-4951
CONSERVERIES MÉMORIELLES,1718-5556
CONSTELLATION,0278-5021
CONSTELLATIONS,1351-0487
CONSTRAINTS,1383-7133
CONSULTORI FAMILIARI OGGI,1594-1914
CONTABILITÀ E CULTURA AZIENDALE,1721-5242
CONTAGION,1075-7201
CONTATTI,1826-6002
CONTEMPORANEA,1127-3070
CONTEMPORARY BRITISH HISTORY,1361-9462
CONTEMPORARY BRITISH HISTORY,1743-7997
CONTEMPORARY EUROPEAN HISTORY,0960-7773
CONTEMPORARY SOUTH ASIA,0958-4935
CONTEMPORARY SOUTHEAST ASIA,0129-797X
CONTESTI,2284-1954
CONTEXTS,1756-235X
CONTINENTAL PHILOSOPHY REVIEW (ONLINE)],1573-0611
CONTINENTAL PHILOSOPHY REVIEW,1387-2842
CONTINUITÀ E SCUOLA,.
CONTINUITY AND CHANGE,0268-4160
CONTRADICTIO,1984-574X
CONTRE-JOUR,1705-0502
CONTRETEMPS (PARIS. 2001),1633-597X
CONTRIBUCIONES A LAS CIENCIAS SOCIALES,1988-7833
CONTRIBUTIONS OF THE AUSTRIAN LUDWIG WITTGENSTEIN SOCIETY,1022-3398
CONTRIBUTIONS TO SCIENCE,1575-6343
CONTRO TEMPO,1125-4661
CONTROVERSIAS Y CONCURRENCIAS LATINOAMERICANAS,.
CONVERGENCE,1354-8565
CONVERGENCIAS,1646-9054
CONVIVIO,1322-7971
CONVIVIUM ASSISIENSE,1828-7743
COOPERAZIONE EDUCATIVA,0010-8502
COORDINATION CHEMISTRY REVIEWS,0010-8545
COPTICA,1541-163X
CORPOREITÀ,.
CORPOSCRITTO,.
CORPS,1954-1228
CORPUS,0296-8916
CORPUS,1638-9808
CORTEX,0010-9452
CORVINUS JOURNAL OF SOCIOLOGY AND SOCIAL POLICY,2061-5558
COSMO,2281-6658
COSMOPOLIS,1828-6771
COSMOPOLIS,1828-9231
COSMOS AND HISTORY,1832-9101
COSTRUZIONI PSICOANALITICHE,1721-9612
COURRIER DU CENTRE INTERNATIONAL BLAISE PASCAL,0249-6674
CQIA RIVISTA,2039-4039
CREATIVITY RESEARCH JOURNAL,1040-0419
CRETA ANTICA,1724-3688
"CRIME, HISTOIRE & SOCIÉTÉS",1422-0857
CRISTIANESIMO NELLA STORIA,0393-3598
CRITERIO,0011-1473
CRITICA,2192-3213
CRÍTICA,0011-1503
CRITICA D'ARTE,0011-1511
CRITICA DEL TESTO,1127-1140
CRITICA MARXISTA,0011-152X
CRITICA MARXISTA,0104-9321
CRITICAL DISCOURSE STUDIES,1740-5904
CRITICAL HORIZONS,1440-9917
CRITICAL INTERVENTIONS,1930-1944
CRITICAL SOCIOLOGY,0896-9205
CRITICAL STUDIES IN FASHION & BEAUTY,2040-4417
CRITICISM,0011-1589
CRITIQUE,0011-1600
CRITIQUE COMMUNISTE,0398-2068
CROATIAN JOURNAL OF PHILOSOPHY,1333-1108
CROMOHS,1123-7023
CRONACHE ERCOLANESI,0391-1535
CRUSADES,1476-5276
CUADERNOS AMERICANOS,0011-2356
CUADERNOS DE FILOLOGÍA FRANCESA,1135-8637
CUADERNOS DE FILOLOGÍA ITALIANA,1133-9527
CUADERNOS DE FILOSOFÍA,0590-1901
CUADERNOS DE HISTORIA CONTEMPORÁNEA,0214-400X
CUADERNOS DE HISTORIA MODERNA,0214-4018
CUADERNOS DE HISTORIA MODERNA. ANEJOS,1579-3826
CUADERNOS DE INFORMACIÓN Y COMUNICACIÓN,1135-7991
CUADERNOS DE ITALIANÍSTICA CUBANA,.
CUADERNOS DE LA CATEDRA MIGUEL DE UNAMUNO,0210-749X
CUADERNOS DE ONTOLOGÍA,1576-2270
CUADERNOS DE PEDAGOGIA,0210-0630
CUADERNOS DE TURISMO,1139-7861
CUADERNOS DEL INSTITUTO ANTONIO DE NEBRIJA DE ESTUDIOS SOBRE LA UNIVERSIDAD,1139-6628
CUADERNOS DEL INSTITUTO ANTONIO DE NEBRIJA DE ESTUDIOS SOBRE LA UNIVERSIDAD,1988-8503
CUADERNOS DEL SUR,1405-1966
CUADERNOS DIECIOCHISTAS,1576-7914
CUADERNOS ELECTRÓNICOS DE FILOSOFÍA DEL DERECHO,1138-9877
CUADERNOS FILOSÓFICOS,1850-3667
CUADERNOS GEOGRÁFICOS DE LA UNIVERSIDAD DE GRANADA,0210-5462
CUADERNOS KÓRE,1889-9285
CUADERNOS SALMANTINOS DE FILOSOFIA,0210-4857
CUADERNOS SOBRE VICO,1130-7498
CUESTIONES PEDAGÓGICAS,0213-1269
CUICUILCO,0185-1659
CULTURA,1584-1057
CULTURA - REVISTA DE HISTORIA E TEORIA DAS IDEIAS,0870-4546
CULTURA & COMUNICAZIONE,2239-1916
CULTURA E DIRITTI,2280-6334
CULTURA E EDUCAZIONE,1125-8519
CULTURA ESCRITA & SOCIEDAD,1699-8308
CULTURA LATINOAMERICANA. ANNALI ...,1827-4315
CULTURA LATINOAMERICANA. REVISTA DE ESTUDIOS INTERCULTURALES,2346-0326
CULTURA NEOLATINA,0391-5654
CULTURA TEDESCA,1720-514X
"CULTURA, CIENCIA Y DEPORTE",1696-5043
CULTURAL AND SOCIAL HISTORY,1478-0038
CULTURAL AND SOCIAL HISTORY,1478-0046
CULTURAL ANTHROPOLOGY,0886-7356
CULTURAL GEOGRAPHIES,1474-4740
CULTURAL GEOGRAPHIES,1477-0881
CULTURAL LOGIC,1097-3087
CULTURAL POLITICS,1743-2197
CULTURAL STUDIES OF SCIENCE EDUCATION,1871-1502
CULTURAL STUDIES REVIEW,1837-8692
CULTURE & PSYCHOLOGY,1354-067X
CULTURE AND DIALOGUE,2222-3282
CULTURE AND RELIGION,1475-5610
CULTURE DEL TESTO,1126-7437
CULTURE DEL TESTO E DEL DOCUMENTO,1593-5698
CULTURE DELLA SOSTENIBILITÀ,1972-5817
CULTURE E IMPRESA,1824-4548
CULTURE MEDICINE AND PSYCHIATRY,0165-005X
CULTURE MUSICALI,.
CULTURE PARALLELE,.
CULTURES ET CONFLITS,1157-996X
CURARE,0344-8622
CURRENT ANAESTHESIA AND CRITICAL CARE,0953-7112
CURRENT ANTHROPOLOGY,0011-3204
CURRENT BIOLOGY,0960-9822
CURRENT OPINION IN DRUG DISCOVERY & DEVELOPMENT,1367-6733
CURRENT SOCIOLOGY,0011-3921
CURRICULUM INQUIRY,0362-6784
CURRICULUM INQUIRY,1467-873X
CURSIV,1901-8878
CYBERGEO,1278-3366
CYBERNETICS & HUMAN KNOWING,0907-0877
CYBERPSYCHOLOGY & BEHAVIOR,1094-9313
CYBERZONE,.
CYTOTHERAPY,1465-3249
CZECHOSLOVAK MATHEMATICAL JOURNAL,0011-4642
DACIA,0070-251X
DADA,2240-0192
DAEDALUS,1122-5734
DAEDALUS,1970-2175
DALTON TRANSACTIONS,1477-9226
DANTE,1724-9058
DAPHNIS,0300-693X
DARKMATTER,2041-3254
DAS ACHTZEHNTE JAHRHUNDERT,0722-740X
DAS MITTELALTER,0949-0345
DE COMPUTIS,1886-1881
DE KÊMI À BIRIT NARI,1632-4129
DE MUSICA,2465-0137
DE QUALITATE,1123-3249
DE RE METALLICA,1888-8615
DE REBUS ANTIQUIS,2250-4923
DE STRATA FRANCIGENA,1722-9472
DEDALUS,0871-9519
DEGRÉS,0376-8163
DELTION VIVLIKON MELETON,1012-2311
DEMOCRATIZATION,1351-0347
DEMOCRAZIA E DIRITTO,0416-9565
DEMOGRAPHIC RESEARCH,1435-9871
DEN,1721-0682
DEN JYSKE HISTORIKER,0109-9280
"DEP. DEPORTATE, ESULI, PROFUGHE",1824-4483
DER SCHLERN,0036-6145
DERECHO Y RELIGIÓN,1887-3243
DERMATOLOGIC THERAPY,1396-0296
DERRIDA TODAY,1754-8500
DESARROLLO ECONOMICO-REVISTA DE CIENCIAS SOCIALES,0046-001X
DESIGN STUDIES,0142-694X
DESIGN VIEW. MAGAZINE DELLA RETE NAZIONALE DI RICERCA SISTEMA DESIGN ITALIA,1824-2219
DESIGNIS,1578-4223
DESK,.
DESPALABRO,1888-6515
DEUS MORTALIS,1666-5007
DEUTSCHE ZEITSCHRIFT FÜR PHILOSOPHIE,0012-1045
DEUTSCHE ZEITSCHRIFT FÜR PHILOSOPHIE,2192-1482
DEUTSCHES ARCHIV FÜR ERFORSCHUNG DES MITTELALTERS,0012-1223
DEVELOPING WORLD BIOETHICS,1471-8731
DEVELOPMENT,1011-6370
DEVELOPMENT POLICY REVIEW,0950-6764
DEVELOPMENTAL PSYCHOBIOLOGY,0012-1630
DEVELOPMENTAL PSYCHOLOGY,0012-1649
DI: REVISTA DE DEFICIÊNCIA INTELECTUAL],2238-4618
DIABETES & METABOLISM,1262-3636
DIABETES CARE,1935-5548
DIABETES SPECTRUM,1040-9165
DIABETES/METABOLISM RESEARCH AND REVIEWS,1520-7552
DIABETIC MEDICINE,0742-3071
DIACRITICS,0300-7162
DIACRONIE. STUDI DI STORIA CONTEMPORANEA,2038-0925
DIALECTICA,0012-2017
DIALEGESTHAI,1128-5478
DIALEKTIK,0939-5512
DIALETTICA E FILOSOFIA,1974-417X
DIALOGHI DI STORIA DELL'ARTE,1124-3880
DIALOGICA,1592-971X
DIÁLOGO CIENTÍFICO,0942-2218
DIALOGOS,0012-2122
DIÁLOGOS,1134-7880
DIALOGUE,0012-2173
DIALOGUES IN HUMAN GEOGRAPHY,2043-8206
DIALOGUES IN PHILOSOPHY MENTAL AND NEURO SCIENCES,2035-0031
DIANOIA,1125-1514
DIASPORAS,1637-5823
DIDACTICA,1844-0789
DIDACTIQUES,2253-0436
DIDATTICA DELLE SCIENZE E INFORMATICA NELLA SCUOLA,1593-537X
DIDATTICAMENTE,1827-0794
DIDEROT STUDIES,0070-4806
DIE ERDE,0013-9998
DIE PHILOSOPHIN,0936-7586
DIECIOCHO,0163-0415
DIFESA SOCIALE,0012-2653
DIFFERENTIAL GEOMETRY AND ITS APPLICATIONS,0926-2245
DIFFICOLTÀ DI APPRENDIMENTO,1123-928X
DIFFICOLTÀ IN MATEMATICA,1827-0328
"DIFFUSION AND DEFECT DATA, SOLID STATE DATA. PART A, DEFECT AND DIFFUSION FORUM",1012-0386
DIGITALIA,1972-6201
DIKE,1128-8221
DIKE,1593-0351
DIMENSIONI E PROBLEMI DELLA RICERCA STORICA,1125-517X
DINTORNI,.
DIOGÈNE,0419-1633
DIOGENES,0392-1921
DIOGENES (ENGLISH ED. ONLINE),1467-7695
DIONYSUS EX MACHINA,2038-5137
DIOTIMA,1010-7363
DIPAV QUADERNI,1721-7199
DIPENDENZE PATOLOGICHE,1970-1101
DIPLOMACY AND STATECRAFT,0959-2296
DIPLOMACY AND STATECRAFT,1557-301X
DIPLOMATIC HISTORY,0145-2096
DIREZIONE E SCUOLA,0392-2812
DIRIGENTI SCUOLA,2280-8744
DIRITTO & DIRITTI,1127-8579
DIRITTO & QUESTIONI PUBBLICHE,1825-0173
DIRITTO DI FAMIGLIA E DELLE PERSONE,0390-1882
DIRITTO E CULTURA,1824-4572
DIRITTO E RELIGIONI,1970-5301
DIRITTO IMMIGRAZIONE E CITTADINANZA,1720-433X
DIRITTO PENALE XXI SECOLO,1720-5816
DIRITTO PUBBLICO COMPARATO ED EUROPEO,1720-4313
DIRITTO@STORIA,1825-0300
DISABILITY & SOCIETY,0968-7599
DISABILITY AND HEALTH JOURNAL,1936-6574
DISABILITY AND REHABILITATION,0963-8288
DISASTERS,0361-3666
DISCIPLINE FILOSOFICHE,1591-9625
DISCOURSE & SOCIETY,0957-9265
DISCOVERY MEDICINE,1539-6509
DISCURSO,0103-328X
DISLESSIA,1724-9767
DISPUTATIO,0873-626X
DISSENSI,.
DISSERTATIO,1413-9448
DISTANCE EDUCATION,0158-7919
DISTANCES ET SAVOIRS,1765-0887
DISTURBI DI ATTENZIONE E IPERATTIVITA',1827-4366
DIVERSITY AND DISTRIBUTIONS,1366-9516
DIVINATIO,1310-9456
DIVUS THOMAS,0012-4257
DIX-HUITIÈME SIÈCLE,0070-6760
D-LIB MAGAZINE,1082-9873
DOCOMOMO ITALIA GIORNALE,2037-1047
DOCTOR COMMUNIS,0012-4443
DOCTOR SERAPHICUS,0393-0009
DOCTOR VIRTUALIS,2035-7362
DOCUMENTA ALBANA,0393-0017
DOCUMENTACIÓN DE LAS CIENCIAS DE LA INFORMACIÓN,0210-4210
DOCUMENTI E STUDI,.
DOCUMENTI E STUDI SULLA TRADIZIONE FILOSOFICA MEDIEVALE,1122-5750
DOCUMENTI GEOGRAFICI,2281-7549
DOCUMENTS D'ANÀLISI GEOGRÀFICA,0212-1573
DOCUMENTS POUR L'HISTOIRE DES TECHNIQUES,0417-8726
DOCUMENTS POUR L'HISTOIRE DU FRANÇAIS LANGUE ÉTRANGÈRE OU SECONDE,0992-7654
DOKLADY PHYSICS,1028-3358
DOMUS,0012-5377
DOXA,0214-8676
DRASSANA,0214-2279
DRASSANA,2385-3425
DROIT ET CULTURES,0247-9788
DROIT ET RELIGIONS. ANNUAIRE,1779-2754
DRUG AND CHEMICAL TOXICOLOGY,0148-0545
DUBROVNIK ANNALS,1331-3878
DUODA,1132-6751
DURKEIMIAN STUDIES,1362-024X
DWF,0393-9014
E CRINI,1760-4753
E/C,1970-7452
EÄ – JOURNAL OF MEDICAL HUMANITIES & SOCIAL STUDIES OF SCIENCE AND TECHNOLOGY,1852-4680
EABH BULLETIN,2219-0643
EADEM UTRAQUE EUROPA,1885-7221
EAHN NEWSLETTER,1997-5023
EARLY CHILDHOOD EDUCATION,0012-8171
EARLY CHILDHOOD RESEARCH QUARTERLY,0885-2006
EARLY MEDIEVAL EUROPE,0963-9462
EARLY MEDIEVAL EUROPE,1468-0254
EARLY SCIENCE AND MEDICINE,1383-7427
EARTH SCIENCE INFORMATICS,1865-0473
EARTH SCIENCES HISTORY,0736-623X
EARTH SURFACE PROCESSES AND LANDFORMS,0197-9337
EARTH SYSTEM DYNAMICS,2190-4987
EARTHQUAKE SPECTRA,8755-2930
EAST AND WEST,0012-8376
EAST EUROPEAN JEWISH AFFAIRS,1350-1674
EAST EUROPEAN POLITICS AND SOCIETIES,0888-3254
EASTERN EUROPEAN COUNTRYSIDE,1232-8855
EATING AND WEIGHT DISORDERS,1590-1262
E-BUSINESS,0972-5180
ECANCERMEDICALSCIENCE,1754-6605
ECCLESIA,2035-9365
ECCLESIA ORANS,1010-3872
ECDOTICA,1825-5361
"ÉCHO DES ÉTUDES ROMANES",1801-0865
ECKHART REVIEW,0969-3661
"ÉCOLE",.
ECOLOGÍA POLÍTICA,1130-6378
ECOLOGIA URBANA,1974-8388
ECOLOGICAL COMPLEXITY,1476-945X
ECOLOGICAL ECONOMICS,0921-8009
ECOLOGICAL INFORMATICS,1574-9541
ECOLOGICAL MODELLING,0304-3800
ECONOMIA & AMBIENTE,1593-9499
ECONOMIA & DIRITTO AGROALIMENTARE,1826-0373
ECONOMIA & DIRITTO AGROALIMENTARE,1970-9498
ECONOMIA & LAVORO,0012-978X
ECONOMIA DELLA CULTURA,1122-7885
ECONOMIA E DIRITTO DEL TERZIARIO,1593-9464
ECONOMIA E SOCIOLOGIA,0870-6026
ECONOMIA ITALIANA,0392-775X
ECONOMIA PUBBLICA,0390-6140
"ECONOMIA, IMPRESA E MERCATI FINANZIARI",1970-0911
"ECONOMÍA, SOCIEDAD Y TERRITORIO",1405-8421
ECONOMIC BOTANY,0013-0001
ECONOMIC GEOGRAPHY,0013-0095
ECONOMIC HISTORY REVIEW,0013-0117
ECONOMIC JOURNAL,0013-0133
ECONOMICS AND HUMAN BIOLOGY,1570-677X
ECONOMICS AND PHILOSOPHY,0266-2671
ECONOMICS AND POLICY OF ENERGY AND THE ENVIRONMENT,2280-7659
ECONOMICS LETTERS,0165-1765
"ECONOMICS, MANAGEMENT AND FINANCIAL MARKETS",1842-3191
ECONOMISCH-STATISTISCHE BERICHTEN,0013-0583
ECONOMY AND SOCIETY,0308-5147
ECONOMY TRANSDISCIPLINARY COGNITION,2067-5046
E-CONSERVATION,1646-9283
"ÉCRIRE L'HISTOIRE",1967-7499
ECUMENISM,0383-431X
ED.A. EDUCAZIONE ADULTI,.
EDA. ESEMPI DI ARCHITETTURA,2035-7982
EDETANIA,0214-8560
EDITH-STEIN-JAHRBUCH,0948-3063
EDIZIONE...,.
EDUCAÇÃO E FILOSOFIA,0102-6801
EDUCAÇÃO E PESQUISA,1517-9702
EDUCAÇÃO EM REVISTA,0102-4698
EDUCACIÓN SOCIAL,1135-8629
EDUCARE.IT,2039-943X
EDUCATIA PLUS,1842-077X
EDUCATIA PLUS,2068-1151
