TITOLO,ISSN
CZASOPISMO TECHNICZNE ARCHITEKTURA,1897-6271
DA VINCI,1807-6432
D'A. D'ARCHITETTURA,1720-0342
DAIDALOS,1594-0578
DAPESQUISA,1808-3129
DAPIT RICERCHE,.
D'ARS,0011-6726
D'ARTIGIANATO TRA ARTE E DESIGN,1724-9376
DAS ACHTZEHNTE JAHRHUNDERT UND ÖSTERREICH,1015-406X
DBZ. DEUTSCHE BAUZEITSCHRIFT,0011-4782
DC (BARCELONA),1139-5559
DDISEÑO,1989-3183
DE ARCHITECT,0044-8621
DECART,1723-803X
DEDALO,1128-7543
DĚJINY A SOUČASNOST,0418-5129
DELPINOA,0416-928X
DEMETRA,1826-364X
DEMOCRAZIA E DIRITTO,0416-9565
DER ANSCHNITT,0003-5238
DÉRIVE,1608-8131
DESENVOLVIMENTO E MEIO AMBIENTE,1518-952X
DESGÉNÉRATIONS,1778-0845
DESIGN AND CULTURE,1754-7075
DESIGN ISSUES,0747-9360
DESIGN MANAGEMENT JOURNAL,1045-7194
DESIGN MANAGEMENT JOURNAL,1942-5074
DESIGN MANAGEMENT MAGAZINE,1638-6418
DESIGN MANAGEMENT REVIEW,1557-0614
DESIGN PHILOSOPHY PAPERS,1448-7136
DESIGN PRINCIPLES & PRACTICES,1833-1874
DESIGN REVIEW,2035-2336
DESIGN STUDIES,0142-694X
DESIGN VIEW. MAGAZINE DELLA RETE NAZIONALE DI RICERCA SISTEMA DESIGN ITALIA,1824-2219
DESIGNFOCUSNEWS,1824-3878
DESÍGNIO,1806-2741
DETAIL,0011-9571
DIABETES,0012-1797
DIALOGHI INTERNAZIONALI,1971-5595
DIAMANTE,1824-5765
DIE ALTE STADT,0170-9364
DIE BRÜCKE,1816-8574
DIE GARTENKUNST,0935-0519
DIGIMAG,2037-2256
DIID. DISEGNO INDUSTRIALE INDUSTRIAL DESIGN,1594-8528
DIMENSIONI E PROBLEMI DELLA RICERCA STORICA,1125-517X
DIMORE STORICHE,1720-1004
DINTORNI,.
DIONISO,1824-0240
DISASTER ADVANCES,0974-262X
DISASTER PREVENTION AND MANAGEMENT,0965-3562
DISASTERS,0361-3666
DISEGNARE CON...,1828-5961
DISEGNARE IDEE IMMAGINI,1123-9247
DISEGNO E DESIGN DIGITALE,1594-9672
DISEGNO E DESIGN DIGITALE,1720-0482
DISEÑO INTERIOR,1130-9458
DISP,0251-3625
DOBRAS,1982-0313
DOC TOSCANA,1593-2176
DOCOMOMO ITALIA GIORNALE,2037-1047
DOCOMOMO JOURNAL,1380-3204
DOCUMENTI DEL TERRITORIO,0394-7246
DOCUMENTS D'ANÀLISI GEOGRÀFICA,0212-1573
DOLOMITI,1126-2095
DOMUS,0012-5377
DOSSIER HABITAT,.
DPA. DOCUMENTS DE PROJECTES D'ARQUITECTURA,1577-0265
DROMOS,2239-6284
DU,0012-6837
DUELLANTI,1724-3580
D'UR,2014-2196
E.S.A. BULLETIN,0376-4265
E/C,1970-7452
E/C,1973-2716
EAHN NEWSLETTER,1997-5023
EARTH SYSTEM DYNAMICS,2190-4987
EARTHQUAKE SPECTRA,8755-2930
EAST,1826-5073
EAST AND WEST,0012-8376
EAV. ECOLE D'ARCHITECTURE DE VERSAILLES,1245-2602
ECCLESIAE,2035-9373
ECDJ,0874-6168
ECO WEB TOWN,2039-2656
ECOLOGIA URBANA,1974-8388
ECOLOGICAL ECONOMICS,0921-8009
ECOLOGICAL ENGINEERING,0925-8574
ECOLOGICAL INDICATORS,1470-160X
ECOLOGICAL MODELLING,0304-3800
ECOLOGY & SOCIETY,1708-3087
ECONOMIA & DIRITTO AGROALIMENTARE,1970-9498
ECONOMIA DEI SERVIZI,1970-4860
ECONOMIA DELLA CULTURA,1122-7885
ECONOMIA DELLE FONTI DI ENERGIA E DELL'AMBIENTE,1125-1263
ECONOMIA E SOCIETÀ IN ABRUZZO. RAPPORTO...,2038-8918
ECONOMIA E SOCIETÀ REGIONALE. OLTRE IL PONTE,1827-2479
ECONOMIA ITALIANA,0392-775X
ECONOMIA TRENTINA,0012-9879
"ECONOMÍA, SOCIEDAD Y TERRITORIO",1405-8421
E-CONSERVATION,1646-9283
ECOSCIENZA,2039-0424
EDA,.
EDA. ESEMPI DI ARCHITETTURA,2035-7982
EDILIZIA POPOLARE,0422-5619
EGA. REVISTA DE EXPRESIÓN GRÁFICA ARQUITECTÓNICA,1133-6137
EGYPTIAN & EGYPTOLOGICAL DOCUMENTS ARCHIVES LIBRARIES,2038-2286
E-JOURNAL - CIGR,1682-1130
EL HILO DE LA FÁBULA,1667-7900
ELECTROCHIMICA ACTA,0013-4686
ELECTRONIC JOURNAL OF INFORMATION TECHNOLOGY IN CONSTRUCTION,1403-6835
ELISAVA TDD,1889-5905
ELSA,1662-5870
ELUDAMOS,1866-6124
EM. LINEA ECOLOGICA,1721-9450
"ENERGIA, AMBIENTE E INNOVAZIONE",1124-0016
ENERGY,0360-5442
ENERGY & ENVIRONMENTAL SCIENCE,1754-5692
ENERGY AND BUILDINGS,0378-7788
ENERGY EFFICIENCY,1570-646X
ENERGY POLICY,0301-4215
ENERGY PROCEDIA,1876-6102
"ENERGY, SUSTAINABILITY AND SOCIETY",2192-0567
ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,0952-1976
ENGINEERING FAILURE ANALYSIS,1350-6307
ENGINEERING FRACTURE MECHANICS,0013-7944
ENGINEERING GEOLOGY,0013-7952
ENGINEERING STRUCTURES,0141-0296
ENTROPIA,1954-2437
ENVIRONMENT AND BEHAVIOR,0013-9165
ENVIRONMENT AND NATURAL RESOURCES RESEARCH,1927-0488
ENVIRONMENT AND PLANNING A,0308-518X
ENVIRONMENT AND PLANNING B-PLANNING & DESIGN,0265-8135
ENVIRONMENT AND PLANNING C-GOVERNMENT AND POLICY,0263-774X
ENVIRONMENT AND PLANNING D-SOCIETY & SPACE,0263-7758
ENVIRONMENT INTERNATIONAL,0160-4120
"ENVIRONMENT, DEVELOPMENT AND SUSTAINABILITY",1387-585X
ENVIRONMENTAL EARTH SCIENCES,1866-6280
ENVIRONMENTAL ENGINEERING SCIENCE,1092-8758
ENVIRONMENTAL GEOLOGY,0943-0105
ENVIRONMENTAL IMPACT ASSESSMENT REVIEW,0195-9255
ENVIRONMENTAL MANAGEMENT,0364-152X
ENVIRONMENTAL MANAGEMENT,1051-2837
ENVIRONMENTAL MANAGEMENT,1432-1009
ENVIRONMENTAL MODELING & ASSESSMENT,1420-2026
ENVIRONMENTAL MODELLING & SOFTWARE,1364-8152
ENVIRONMENTAL MONITORING AND ASSESSMENT,0167-6369
ENVIRONMENTAL MONITORING AND ASSESSMENT,1573-2959
ENVIRONMENTAL POLICY AND GOVERNANCE,1756-9338
ENVIRONMENTAL POLLUTION,0269-7491
ENVIRONMENTAL PRACTICE,1466-0466
ENVIRONMENTAL QUALITY MANAGEMENT,1088-1913
ENVIRONMENTAL SCIENCE & TECHNOLOGY,0013-936X
ENVIRONMENTAL SCIENCES,1569-3430
ENVIRONMENTAL SCIENTIST,0966-8411
ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,0730-7268
ENVIRONNEMENT,1720-6111
E-PERIMETRON,1790-3769
EPIDEMIOLOGIA E PREVENZIONE,1120-9763
EPIDEMIOLOGY AND PSYCHIATRIC SCIENCES,2045-7960
EPISODES,0705-3797
EQUILIBRI,1594-7580
EQUIPÉCO,1824-8993
"ERA 21 EKOLOGIE, REALIZACE, ARCHITEKTURA",1213-6212
EREVIEW OF TOURISM RESEARCH,1941-5842
ERGONOMIA,0137-4990
ERGONOMIA,1123-7651
ERGONOMICS,0014-0139
ERGONOMICS,1366-5847
ERGONOMICS IN DESIGN,1064-8046
E-RPH,1988-7213
ERSAMNOTIZIE,.
ESCALA,0120-6702
ESERCIZI CRITICI. LETTERATURA ED ALTRO,1723-0861
ESPACESTEMPS.NET,1777-5477
"ESPACIO, TIEMPO Y FORMA. SERIE VII, HISTORIA DEL ARTE",1130-4715
ESPAIS,0213-5639
ESTETICA. STUDI E RICERCHE,2039-6635
E-STIMO,2037-7061
ESTIMO E TERRITORIO,1824-8918
"ESTUARINE, COASTAL AND SHELF SCIENCE",0272-7714
ESTUDOS DE ENGENHARIA CIVIL,0870-5011
ESTUDOS PATRIMONIO,1645-2453
"ÉTAPES",1774-5160
ETAPES INTERNATIONAL,1767-4751
ETICA ED ECONOMIA,1594-7599
ETICA PER LE PROFESSIONI,1591-7649
ETNOGRAFIA E RICERCA QUALITATIVA,1973-3194
EUPOLIS,.
EURASIP JOURNAL ON ADVANCES IN SIGNAL PROCESSING,1687-6172
EURASIP JOURNAL ON APPLIED SIGNAL PROCESSING,1110-8657
EUROGRAPHICS TECHNICAL REPORT SERIES,1017-4656
EUROPA MEDICOPHYSICA,0014-2573
EUROPA MEDICOPHYSICA,1827-1804
EUROPA XXI,1429-7132
EUROPEAN ENVIRONMENT,0961-0405
EUROPEAN JOURNAL OF CANCER CARE,0961-5423
EUROPEAN JOURNAL OF ENGINEERING EDUCATION,0304-3797
EUROPEAN JOURNAL OF FOREST RESEARCH,1612-4669
EUROPEAN JOURNAL OF HOUSING POLICY,1461-6718
EUROPEAN JOURNAL OF INFLAMMATION,1721-727X
EUROPEAN JOURNAL OF INNOVATION MANAGEMENT,1460-1060
EUROPEAN JOURNAL OF RADIOLOGY,0720-048X
EUROPEAN JOURNAL OF REMOTE SENSING,2279-7254
EUROPEAN JOURNAL OF SPATIAL DEVELOPMENT,1650-9544
EUROPEAN JOURNAL OF TRANSPORT AND INFRASTRUCTURE RESEARCH,1567-7141
EUROPEAN PLANNING STUDIES,0965-4313
EUROPEAN SPATIAL RESEARCH AND POLICY,1231-1952
EUROPEAN TRANSPORT/TRASPORTI EUROPEI,1825-3997
EUROPEAN URBAN AND REGIONAL STUDIES,0969-7764
EUROPHYSICS LETTERS,0295-5075
EXPERIENCE,1824-1379
EXPERIMENTA,1133-9675
EXPERIMENTAL BRAIN RESEARCH,0014-4819
EXPERIMENTAL MECHANICS,0014-4851
EXPORRE,1827-3459
EXPOSÉ,1261-1565
EYESREG,2239-3110
EZELSOREN,1876-0457
FACES,0258-6800
FACILITIES,0263-2772
FACILITY MANAGEMENT ITALIA,1973-5340
FANTOM - PHOTOGRAPHIC QUARTERLY,2037-1438
FAR EAST JOURNAL OF ELECTRONICS AND COMMUNICATIONS,0973-7006
FASCICULI ARCHAEOLOGIAE HISTORICAE,0860-0007
FASHION THEORY,1362-704X
FESTIVAL DELL'ARCHITETTURA MAGAZINE,2039-0491
FINALITÀ DELL'ARCHITETTURA,0394-2767
FIRE TECHNOLOGY,0015-2684
FIRENZE ARCHITETTURA,1826-0772
FIRENZE FAST FORWARD,2037-2620
FISURAS,1134-9409
FLASH ART,0015-3524
FLASH ART INTERNATIONAL,0394-1493
FLUX,1074-5602
FOEDUS,1594-8447
FOOD PACKAGES,1827-2533
FORESIGHT,1463-6689
FOREST ECOLOGY AND MANAGEMENT,0378-1127
FOREST POLICY AND ECONOMICS,1389-9341
FOREST SCIENCE,0015-749X
FOREST@,1824-0119
FORESTRY,0015-752X
FORM,0015-7678
FORM FUNCTION FINLAND,0358-8904
FORME MODERNE,2035-696X
FORO ELLENICO,-
FORUM EUROPEJSKIE,1641-3113
FOTOSTORICA,1723-9354
FRAMES. ARCHITETTURA DEI SERRAMENTI,1123-8143
FRESENIUS ENVIRONMENTAL BULLETIN,1018-4619
FRESHWATER BIOLOGY,0046-5070
FRONESIS,1825-3628
FRONTIERS OF ARCHITECTURAL RESEARCH,2095-2643
FRÜHNEUZEIT-INFO,0940-4007
FUORIVISTA,.
FUTURE ANTERIOR,1549-9715
FUTURE ARQUITECTURAS AMÉRICA,1390-6054
FUTURE INTERNET,1999-5903
FUTURES,0016-3287
FUTUROPA,1998-1457
FUZZY SYSTEMS AND A.I. REPORTS AND LETTERS,1016-2127
G. SLOVENSKY CASOPIS PRE GEOMETRIU A GRAFIKU,1336-524X
GAIT & POSTURE,0966-6362
GALILAEANA,1971-6052
GALILEO,1122-9160
GALILEO,1827-7764
GAP CASA,1593-697X
GARTEN UND LANDSCHAFT,0016-4720
GEA,0394-8382
GEAM. GEOINGEGNERIA AMBIENTALE E MINERARIA,1121-9041
GENERALIST,.
GENÈSES,1155-3219
GENIO RURALE- ESTIMO E TERRITORIO,0016-6863
GENTE DI FOTOGRAFIA,1593-1765
GEO-ARCHEOLOGIA,0390-2196
GEOGRAFIA,1123-5586
GEOGRAFIA FISICA E DINAMICA QUATERNARIA,0391-9838
GEOGRAFÍA Y SISTEMAS DE INFORMACIÓN GEOGRÁFICA,1852-8031
GEOGRAFICKY CASOPIS,0016-7193
GEOGRAPHICAL REVIEW,0016-7428
GEOGRAPHY,0016-7487
GEOHERITAGE,1867-2477
GEOINFORMA,2036-3281
GEOINFORMATICS,1387-0858
GEOINFORMATICS,1802-2669
GEOJOURNAL,0343-2521
GEOLOGIA DELL'AMBIENTE,1591-5352
GEOMATICS WORLD,1567-5882
GÉOMATIQUE EXPERT,1620-4859
GEOMEDIA,1128-8132
GEOMORPHOLOGY,0169-555X
GEOSPATIAL HEALTH,1827-1987
GEOSPATIAL HEALTH,1970-7096
GEOSTORIE,1593-4578
GEOTEMA,1126-7798
GERENCIA DE RIESGOS,0213-4314
GERONTECHNOLOGY,1569-1101
GESTALT THEORY,0170-057X
GESTIONE ENERGIA,1972-697X
GIORNALE DEL SISTAN,1125-1301
GIORNALE DELLA FACOLTÀ DI ARCHITETTURA CIVILE DEL POLITECNICO DI MILANO,.
GIORNALE DI GEOLOGIA APPLICATA,1826-1256
GIORNALE DI GERONTOLOGIA,0017-0305
GIORNALE ITALIANO DI MEDICINA DEL LAVORO ED ERGONOMIA,1592-7830
GIORNALE ITALIANO DI PSICOLOGIA,0390-5349
GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,0959-3780
GLOCALE,2037-4453
GLOCALISM,2283-7949
GOMORRA,.
GOTTINGER MISZELLEN,0344-385X
GOYA,0017-2715
GRAFICA D'ARTE,1122-6382
GRAPHICUS,0017-3436
GROMA: GIORNALE DI ARCHITETTURA,.
GROUP DECISION AND NEGOTIATION,0926-2644
GUD. GENOVA UNIVERSITÀ DESIGN,1720-075X
GUIHUASHI,1006-0022
GUO JI CHENG SHI GUI HUA,1673-9493
HABITAT INTERNATIONAL,0197-3975
HARVARD DESIGN MAGAZINE,1093-4421
HBRC JOURNAL,1687-4048
HEALTH & PLACE,1353-8292
HELGOLAND MARINE RESEARCH,1438-387X
HELIOS,0141-2965
HERON,0046-7316
HERPETOZOA,1013-4425
HEVELIUS' WEBZINE,2037-1306
HIART,1974-1634
HISTOIRE URBAINE,1628-0482
HISTORIA MAGISTRA,2036-4040
HISTORIA MATHEMATICA,0315-0860
HISTORICAL GEOGRAPHY,1091-6458
HOCHPARTERRE,1422-8742
HOLZ ALS ROH-UND WERKSTOFF,0018-3768
HOME CULTURES,1740-6315
HOMO COMMUNICATIVUS,.
HORTUS,2038-6095
HORTUS MUSICUS,1129-4965
HOSPITAL,1374-321X
HOSPITAL & PUBLIC HEALTH,1826-980X
HUANQIU SHIZHANG,2076-7498
"HUM 736, PAPELES DE CULTURA CONTEMPORÁNEA",1695-8284
HUMANISTICA,1828-2334
HUNCH,1567-9837
HYDROGEO,.
HYDROLOGICAL PROCESSES,0885-6087
HYDROLOGICAL SCIENCES JOURNAL,0262-6667
HYDROLOGY AND EARTH SYSTEM SCIENCES,1027-5606
HYSTRIX,0394-1914
I + DISEÑO,1889-433X
I BENI CULTURALI,1122-2948
I CASTELLI DI YALE,1591-2353
I QUADERNI DELL'INGEGNERE,1720-5328
I TATTI STUDIES,0393-5949
IA. INGEGNERIA AMBIENTALE,0394-5871
IBC,1125-9876
ICES JOURNAL OF MARINE SCIENCE,1054-3139
ID&A INTERACTION DESIGN & ARCHITECTURE(S),1826-9745
IDEA,1445-5412
IEEE GEOSCIENCE AND REMOTE SENSING LETTERS,1545-598X
IEEE MULTIMEDIA,1070-986X
IEEE PERVASIVE COMPUTING,1536-1268
IEEE PULSE,2154-2287
IEEE SIGNAL PROCESSING LETTERS,1070-9908
IEEE SIGNAL PROCESSING MAGAZINE,1053-5888
IEEE TRANSACTIONS ON SPEECH AND AUDIO PROCESSING,1063-6676
IFOREST,1971-7458
IGIENE E SANITÀ PUBBLICA,0019-1639
IGITUR,1120-9658
IGLOO,1583-7688
IKHNOS,2282-9431
IL CAPITALE CULTURALE,2039-2362
IL CARROBBIO,0392-3347
IL CAVALLO DI CAVALCANTI,.
IL CONTRIBUTO,0391-2418
IL DISEGNO DI ARCHITETTURA,1121-8770
IL GIORNALE DELL'ARCHITETTURA,.
IL GIORNALE DELL'ARCHITETTURA,1721-5463
IL GIORNALE DELL'ARCHITETTURA,2284-1369
IL GIORNALE DELL'ARTE,0394-0543
"IL GIORNALE DELLE PROVE NON DISTRUTTIVE, MONITORAGGIO, DIAGNOSTICA",1721-7075
IL GOVERNO DELLE COSE,.
IL MESTIERE DI STORICO,1594-3836
IL NUOVO CANTIERE,0029-6325
IL NUOVO CIMENTO B,2037-4895
IL PITRÈ,.
IL PLATANO,1120-6152
IL PROGETTO,1120-6993
IL PROGETTO,1590-7058
IL PROGETTO DELL'ABITARE,1724-7470
IL PROGETTO SOSTENIBILE,1974-3327
IL SEGNALE,0393-9464
IL TESORO DELLE CITTÀ,.
IL VELTRO,0042-3254
IL VERRI,0506-7715
IM@GO,2281-8138
IMAGE,1614-0885
IMAGO EUROPAE,1973-3151
IMAGO MUNDI,0308-5694
IMPACKT,.
IMPACT ASSESSMENT AND PROJECT APPRAISAL,1461-5517
IMPIANTI,0390-6132
IMPRESA & STATO,1123-5519
IMPRESA SOCIALE,1129-6402
IN ARCHITETTURA,.
IN BETON,.
IN BO,2036-1602
IN CONCRETO,2039-1218
IN FOLIO,1828-2482
IN SITU,1630-7305
INARCOS,0391-6537
INCHIESTA,0046-8819
INCHIESTE DI URBANISTICA E ARCHITETTURA,0019-3399
INCONTRI MEDITERRANEI,2037-7983
INDIAN ARCHITECT & BUILDER,0971-5509
INDOOR AIR,0905-6947
INDOOR AND BUILT ENVIRONMENT,1420-326X
INDUSTRIA ITALIANA DEL CEMENTO,0019-7637
INDUSTRIE MANUFATTI CEMENTIZI,2225-6040
INFORMACIÓ I DEBAT,1134-0223
INFORMACIONNOE OBŜESTVO,1606-1330
INFORMATORE AIAS,.
INFORMATORE BOTANICO ITALIANO,0020-0697
INFORMES DE LA CONSTRUCCION,0020-0883
INFRARED PHYSICS & TECHNOLOGY,1350-4495
INGEGNERI,.
INGEGNERI,0446-2351
INGEGNERI,2035-8989
INGEGNERIA DELL'AMBIENTE,2420-8256
INGEGNERIA FERROVIARIA,0020-0956
INGEGNERIA SISMICA,0393-1420
INGENIERIES,1264-9147
INQUINAMENTO,0001-4982
INSULA,1021-0814
INTERACTION DESIGN & ARCHITECTURE(S),2283-2998
INTERDISCIPLINARY THEMES JOURNAL,1920-3241
INTERIOR DESIGN,0020-5494
INTERIORS,2041-9112
INTERMÉDIALITÉS,1705-8546
INTERNATIONAL ARCHIVES OF OCCUPATIONAL AND ENVIRONMENTAL HEALTH,0340-0131
INTERNATIONAL ARCHIVES OF PHOTOGRAMMETRY AND REMOTE SENSING,0256-1840
"INTERNATIONAL ARCHIVES OF THE PHOTOGRAMMETRY, REMOTE SENSING AND SPATIAL INFORMATION SCIENCES",1682-1750
"INTERNATIONAL ARCHIVES OF THE PHOTOGRAMMETRY, REMOTE SENSING AND SPATIAL INFORMATION SCIENCES",2194-9034
INTERNATIONAL DEVELOPMENT PLANNING REVIEW,1474-6743
INTERNATIONAL JOURNAL FOR HOUSING SCIENCE AND ITS APPLICATIONS,0146-6518
INTERNATIONAL JOURNAL FOR RESTORATION,.
INTERNATIONAL JOURNAL FOR TRAFFIC AND TRANSPORT ENGINEERING,2325-0062
INTERNATIONAL JOURNAL OF ACOUSTICS AND VIBRATION,1027-5851
INTERNATIONAL JOURNAL OF ADVANCED ROBOTIC SYSTEMS,1729-8806
INTERNATIONAL JOURNAL OF AGRICULTURAL AND ENVIRONMENTAL INFORMATION SYSTEMS,1947-3192
INTERNATIONAL JOURNAL OF AGRICULTURAL RESOURCES GOVERNANCE AND ECOLOGY,1462-4605
INTERNATIONAL JOURNAL OF ANTHROPOLOGY,0393-9383
INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION,1569-8432
INTERNATIONAL JOURNAL OF ARCHITECTURAL COMPUTING,1478-0771
INTERNATIONAL JOURNAL OF ARCHITECTURAL HERITAGE,1558-3058
INTERNATIONAL JOURNAL OF ARCHITECTURAL HERITAGE,1558-3066
INTERNATIONAL JOURNAL OF ART & DESIGN EDUCATION,1476-8062
INTERNATIONAL JOURNAL OF ARTIFICIAL ORGANS,0391-3988
INTERNATIONAL JOURNAL OF AUTOMOTIVE TECHNOLOGY AND MANAGEMENT,1470-9511
"INTERNATIONAL JOURNAL OF BIODIVERSITY SCIENCE, ECOSYSTEM SERVICES & MANAGEMENT",2151-3732
INTERNATIONAL JOURNAL OF BIOLOGY,1916-9671
INTERNATIONAL JOURNAL OF CANADIAN STUDIES,1180-3991
INTERNATIONAL JOURNAL OF CARDIOLOGY,0167-5273
INTERNATIONAL JOURNAL OF CARDIOLOGY,1874-1754
INTERNATIONAL JOURNAL OF COMPUTER SCIENCE ISSUES,1694-0814
INTERNATIONAL JOURNAL OF DATA WAREHOUSING AND MINING,1548-3924
INTERNATIONAL JOURNAL OF DESIGN,1991-3761
INTERNATIONAL JOURNAL OF DESIGN,1994-036X
INTERNATIONAL JOURNAL OF DESIGN COMPUTING,1329-7147
INTERNATIONAL JOURNAL OF DESIGN SCIENCES & TECHNOLOGY,1630-7267
INTERNATIONAL JOURNAL OF DIGITAL CULTURE AND ELECTRONIC TOURISM,1753-5212
INTERNATIONAL JOURNAL OF DIGITAL LITERACY AND DIGITAL COMPETENCE,1947-3494
INTERNATIONAL JOURNAL OF DISASTER RISK SCIENCE,2095-0055
INTERNATIONAL JOURNAL OF EARTH SCIENCES,1437-3254
INTERNATIONAL JOURNAL OF ECOLOGY & DEVELOPMENT,0972-9984
INTERNATIONAL JOURNAL OF ENERGY AND ENVIRONMENT,2076-2895
INTERNATIONAL JOURNAL OF ENTREPRENEURSHIP AND INNOVATION MANAGEMENT,1368-275X
INTERNATIONAL JOURNAL OF ENVIRONMENTAL SCIENCE AND DEVELOPMENT,2010-0264
INTERNATIONAL JOURNAL OF ENVIRONMENTAL TECHNOLOGY AND MANAGEMENT,1466-2132
INTERNATIONAL JOURNAL OF EXERGY,1742-8297
INTERNATIONAL JOURNAL OF FRACTURE,0376-9429
INTERNATIONAL JOURNAL OF GEOPHYSICS,1687-885X
INTERNATIONAL JOURNAL OF HEAT AND TECHNOLOGY,0392-8764
INTERNATIONAL JOURNAL OF HERITAGE AND SUSTAINABLE DEVELOPMENT,1647-4112
INTERNATIONAL JOURNAL OF HERITAGE IN THE DIGITAL ERA,2047-4970
INTERNATIONAL JOURNAL OF HERITAGE STUDIES,1352-7258
INTERNATIONAL JOURNAL OF HERITAGE STUDIES,1470-3610
INTERNATIONAL JOURNAL OF HUMAN FACTORS MODELLING AND SIMULATION,1742-5549
INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES,1071-5819
INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,0360-3199
INTERNATIONAL JOURNAL OF IMMUNOPATHOLOGY AND PHARMACOLOGY,0394-6320
INTERNATIONAL JOURNAL OF INNOVATION AND SUSTAINABLE DEVELOPMENT,1740-8822
INTERNATIONAL JOURNAL OF LAW IN CONTEXT,1744-5523
INTERNATIONAL JOURNAL OF LOW CARBON TECHNOLOGIES,1748-1317
INTERNATIONAL JOURNAL OF MANAGEMENT IN EDUCATION,1750-385X
INTERNATIONAL JOURNAL OF MATERIALS AND STRUCTURAL INTEGRITY,1745-0055
"INTERNATIONAL JOURNAL OF MATHEMATICAL, PHYSICAL AND ENGINEERING SCIENCES",2070-3880
INTERNATIONAL JOURNAL OF MODERN PHYSICS C,0129-1831
INTERNATIONAL JOURNAL OF PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE,0218-0014
INTERNATIONAL JOURNAL OF POWDER METALLURGY,0888-7462
INTERNATIONAL JOURNAL OF PROJECT MANAGEMENT,0263-7863
INTERNATIONAL JOURNAL OF PURE AND APPLIED PHYSICS,0973-1776
INTERNATIONAL JOURNAL OF REMOTE SENSING,0143-1161
INTERNATIONAL JOURNAL OF ROCK MECHANICS AND MINING SCIENCES,1365-1609
INTERNATIONAL JOURNAL OF SERVICES TECHNOLOGY AND MANAGEMENT,1460-6720
INTERNATIONAL JOURNAL OF SOCIAL ECONOMICS,0306-8293
INTERNATIONAL JOURNAL OF SOCIAL SCIENCES,1306-973X
INTERNATIONAL JOURNAL OF SOIL DYNAMICS AND EARTHQUAKE ENGINEERING,0261-7277
INTERNATIONAL JOURNAL OF SOLIDS AND STRUCTURES,0020-7683
INTERNATIONAL JOURNAL OF SPACE STRUCTURES,0956-0599
INTERNATIONAL JOURNAL OF SPATIAL DATA INFRASTRUCTURES RESEARCH,1725-0463
INTERNATIONAL JOURNAL OF STEEL STRUCTURES,1598-2351
"INTERNATIONAL JOURNAL OF SURFACE MINING, RECLAMATION AND ENVIRONMENT",1389-5265
INTERNATIONAL JOURNAL OF SUSTAINABILITY IN HIGHER EDUCATION,1467-6370
INTERNATIONAL JOURNAL OF SUSTAINABLE BUILDING TECHNOLOGY AND URBAN DEVELOPMENT,2093-761X
INTERNATIONAL JOURNAL OF SUSTAINABLE DESIGN,1743-8284
INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT,0960-1406
INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND PLANNING,1743-7601
INTERNATIONAL JOURNAL OF SUSTAINABLE ENERGY,1478-6451
INTERNATIONAL JOURNAL OF SUSTAINABLE STRATEGIC MANAGEMENT,1753-3600
INTERNATIONAL JOURNAL OF TECHNOLOGY AND DESIGN EDUCATION,0957-7572
INTERNATIONAL JOURNAL OF TRAFFIC AND TRANSPORTATION ENGINEERING,2325-0070
INTERNATIONAL JOURNAL OF URBAN AND REGIONAL RESEARCH,0309-1317
INTERNATIONAL JOURNAL OF VENTILATION,1473-3315
INTERNATIONAL JOURNAL ON ARTIFICIAL INTELLIGENCE TOOLS,0218-2130
INTERNATIONAL JOURNAL ON CIVIL AND ENVIRONMENTAL ENGINEERING,2162-0199
INTERNATIONAL JOURNAL ON INTERACTIVE DESIGN AND MANUFACTURING,1955-2513
INTERNATIONAL JOURNAL: EMERGING TECHNOLOGIES IN LEARNING,1863-0383
INTERNATIONAL PLANNING STUDIES,1356-3475
INTERNATIONAL STATISTICAL REVIEW,0306-7734
INTERNATIONALE ZEITSCHRIFT FUER BAUINSTANDSETZEN,0947-4498
INTERNATIONALE ZEITSCHRIFT FÜR BAUINSTANDSETZEN UND BAUDENKMALPFLEGE,.
INTERNI. LA RIVISTA DELL'ARREDAMENTO,1122-3650
INTERNI. ON BOARD,.
INTERVENTIONS/ADAPTIVE REUSE,2154-8498
IRIDE,1122-7893
IS NEWS,.
ISL. IGIENE & SICUREZZA DEL LAVORO,1592-5633
ISLA DE ARRIARÁN,1133-6293
ISRN CIVIL ENGINEERING,2090-5106
ITALIA MEDIOEVALE E UMANISTICA,0391-7495
ITALIAN JOURNAL OF AGRONOMY,1125-4718
ITALIAN JOURNAL OF AGRONOMY,2039-6805
ITALIAN JOURNAL OF ANIMAL SCIENCE,1594-4077
ITALIAN JOURNAL OF PLANNING PRACTICE,2239-267X
ITALIAN JOURNAL OF PUBLIC HEALTH,1723-7815
